cell_id,cell_area_m2,inter_area_m2,overhead_fraction_cell,covered_walkway,elevated_rail,elevated_road,pedestrian_bridge,viaduct,other_overhead,overhead_confounding_flag
TP_0701,9999.999999927422,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0702,9999.999999950705,222.41736672923452,0.022241736673033093,1,0,0,0,0,0,moderate_confounding
TP_0703,10000.000000046566,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0704,9999.999999932152,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0705,9999.99999995598,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0706,10000.00000005275,148.15291023417132,0.01481529102333898,3,0,0,0,0,0,clean_or_minor
TP_0707,10000.000000014188,132.00690969930116,0.013200690969911387,2,0,0,0,0,0,clean_or_minor
TP_0708,9999.999999966894,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0709,10000.00000006039,44.12312069824226,0.00441231206979758,2,0,0,0,0,0,clean_or_minor
TP_0710,9999.99999994452,3.100718432737792,0.00031007184327549943,1,0,0,0,0,0,clean_or_minor
TP_0711,10000.000000111686,38.22353167824113,0.0038223531677814226,1,0,0,0,0,0,clean_or_minor
TP_0712,9999.999999918327,59.5069268047245,0.005950692680521051,1,0,0,0,0,0,clean_or_minor
TP_0713,10000.000000014916,217.0666316815039,0.021706663168118014,3,0,0,0,0,0,moderate_confounding
TP_0714,10000.000000047476,78.79151981174836,0.00787915198113743,1,0,0,0,0,0,clean_or_minor
TP_0715,10000.000000000728,242.8153279792641,0.024281532797924645,3,0,0,0,0,0,moderate_confounding
TP_0716,9999.999999948159,588.9811485113466,0.058898114851439996,0,4,0,0,0,0,moderate_confounding
TP_0717,10000.000000038199,13967.449683954655,1.0,0,21,0,0,0,0,major_confounding
TP_0718,9999.999999914144,776.4616510572744,0.07764616510639408,0,3,0,0,0,0,moderate_confounding
TP_0719,10000.000000002,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0720,10000.000000030559,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0721,10000.000000127147,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0722,10000.000000001637,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0723,9999.999999880856,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0724,10000.00000004602,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0725,9999.999999991996,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0726,10000.00000013315,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0727,9999.999999873398,49.763097037941534,0.004976309703857154,1,0,0,0,0,0,clean_or_minor
TP_0728,10000.00000004602,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0729,10000.00000000764,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0730,9999.999999964348,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0731,9999.99999999418,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0732,10000.000000167893,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0733,9999.999999835745,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0734,10000.000000069667,687.806607840188,0.06878066078353963,0,2,0,0,0,0,moderate_confounding
TP_0735,10000.000000026921,249.31625680910224,0.024931625680843107,0,2,0,0,0,0,moderate_confounding
TP_0736,9999.999999909414,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0737,10000.000000004184,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0738,10000.000000030559,123.79677569465902,0.012379677569428071,4,0,0,0,0,0,clean_or_minor
TP_0739,9999.999999980719,326.268863779759,0.03262688637803881,4,0,0,0,0,0,moderate_confounding
TP_0740,10000.000000073669,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0741,10000.00000003456,67.31687893430787,0.006731687893407522,2,0,0,0,0,0,clean_or_minor
TP_0742,9999.99999991669,123.989031246682,0.012398903124771495,3,0,0,0,0,0,clean_or_minor
TP_0743,10000.000000002365,61.322826001197775,0.006132282600118328,1,0,0,0,0,0,clean_or_minor
TP_0744,10000.000000095133,139.03317777708668,0.013903317777576401,3,0,0,0,0,0,clean_or_minor
TP_0745,9999.999999839383,3210.1364156673317,0.32101364157188916,0,8,0,0,0,0,major_confounding
TP_0746,10000.00000007767,13408.955300003832,1.0,0,25,0,0,0,0,major_confounding
TP_0747,9999.999999961801,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0748,9999.999999982901,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0749,10000.000000069667,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0750,9999.999999947613,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0751,10000.000000039654,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0752,10000.000000065847,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0753,9999.99999994725,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0754,9999.999999969077,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0755,10000.000000039654,93.57862648786245,0.009357862648749138,0,0,0,1,0,0,clean_or_minor
TP_0756,9999.999999930515,27.99321982797946,0.002799321982817397,1,0,0,0,0,0,clean_or_minor
TP_0757,10000.000000170621,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0758,9999.999999902502,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0759,10000.000000000728,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0760,10000.000000030741,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0761,10000.000000049658,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0762,9999.999999938882,10.795086620103913,0.001079508662016989,0,0,0,1,0,0,clean_or_minor
TP_0763,10000.000000037835,199.5483887655669,0.019954838876481192,0,1,0,1,0,0,clean_or_minor
TP_0764,10000.000000060209,2297.7255066833113,0.2297725506669477,2,2,0,1,0,0,major_confounding
TP_0765,9999.999999876673,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0766,10000.000000035288,70.21905319831986,0.007021905319807206,2,0,0,0,0,0,clean_or_minor
TP_0767,9999.999999987813,197.32721774044455,0.019732721774068505,5,0,0,0,0,0,clean_or_minor
TP_0768,9999.999999946886,143.37404663628206,0.014337404663704359,5,0,0,0,0,0,clean_or_minor
TP_0769,10000.000000043474,106.99541307786885,0.01069954130774037,4,0,0,0,0,0,clean_or_minor
TP_0770,9999.999999998727,40.02450210026805,0.004002450210027314,1,0,0,0,0,0,clean_or_minor
TP_0771,10000.000000021646,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0772,9999.999999902684,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0773,10000.000000070759,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0774,9999.99999995016,6911.997811456931,0.691199781149138,0,13,0,0,0,0,major_confounding
TP_0775,9999.999999971624,2350.3065079357266,0.2350306507942396,0,7,0,0,0,0,major_confounding
TP_0776,10000.000000070213,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0777,10000.000000021828,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0778,9999.999999968531,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0779,9999.999999916326,58.05496706745406,0.005805496706793982,0,0,0,0,1,0,clean_or_minor
TP_0780,10000.000000012733,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0781,10000.000000108776,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0782,9999.999999986358,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0783,9999.99999993579,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0784,10000.000000003274,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0785,10000.000000028194,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0786,10000.000000051296,0.0,0.0,0,0,0,0,0,0,clean_or_minor
