station_id,station_present,station_name,n_ge31,mean_context_adjusted_score_residual_c,mean_context_adjusted_high_tail_residual_c,low_support_warning_flag,feature_column,feature_group,base_feature,buffer_m,station_value,station_q25,station_median,station_q75,station_iqr,iqr_position,comparison_note
S145,yes,MacRitchie Reservoir,8,-0.165699,0.884977,True,building_footprint_fraction_250m,buildings,building_footprint_fraction,250,0.050710,0.087796,0.164634,0.231237,0.143441,-0.794,below_station_iqr
S145,yes,MacRitchie Reservoir,8,-0.165699,0.884977,True,building_footprint_fraction_500m,buildings,building_footprint_fraction,500,0.078822,0.073489,0.174224,0.231316,0.157827,-0.604,within_station_iqr
S145,yes,MacRitchie Reservoir,8,-0.165699,0.884977,True,building_footprint_fraction_50m,buildings,building_footprint_fraction,50,0.012658,0.000000,0.025316,0.092361,0.092361,-0.137,within_station_iqr
S145,yes,MacRitchie Reservoir,8,-0.165699,0.884977,True,distance_to_park_or_green_m_100m,green,distance_to_park_or_green_m,100,0.000000,0.000000,50.751432,212.343422,212.343422,-0.239,within_station_iqr
S145,yes,MacRitchie Reservoir,8,-0.165699,0.884977,True,distance_to_park_or_green_m_250m,green,distance_to_park_or_green_m,250,0.000000,0.000000,50.751432,212.343422,212.343422,-0.239,within_station_iqr
S145,yes,MacRitchie Reservoir,8,-0.165699,0.884977,True,distance_to_park_or_green_m_500m,green,distance_to_park_or_green_m,500,0.000000,0.000000,50.751432,212.343422,212.343422,-0.239,within_station_iqr
S145,yes,MacRitchie Reservoir,8,-0.165699,0.884977,True,distance_to_park_or_green_m_50m,green,distance_to_park_or_green_m,50,0.000000,0.000000,50.751432,212.343422,212.343422,-0.239,within_station_iqr
S145,yes,MacRitchie Reservoir,8,-0.165699,0.884977,True,distance_to_water_m_100m,water,distance_to_water_m,100,55.528190,55.582683,248.059739,332.522171,276.939488,-0.695,below_station_iqr
S145,yes,MacRitchie Reservoir,8,-0.165699,0.884977,True,distance_to_water_m_250m,water,distance_to_water_m,250,55.528190,55.582683,248.059739,332.522171,276.939488,-0.695,below_station_iqr
S145,yes,MacRitchie Reservoir,8,-0.165699,0.884977,True,distance_to_water_m_500m,water,distance_to_water_m,500,55.528190,55.582683,248.059739,332.522171,276.939488,-0.695,below_station_iqr
S145,yes,MacRitchie Reservoir,8,-0.165699,0.884977,True,distance_to_water_m_50m,water,distance_to_water_m,50,55.528190,55.582683,248.059739,332.522171,276.939488,-0.695,below_station_iqr
