cell_id,open_pixel_fraction,building_pixel_fraction,n_total_pixels,n_open_pixels,svf_umep_mean_open,svf_umep_p10_open,svf_umep_p90_open,shade_fraction_umep_10_16_open,shade_fraction_umep_13_15_open,shade_fraction_umep_peak_open,shade_fraction_umep_1000_open,shade_fraction_umep_1100_open,shade_fraction_umep_1200_open,shade_fraction_umep_1300_open,shade_fraction_umep_1400_open,shade_fraction_umep_1500_open,shade_fraction_umep_1600_open,svf_umep_mean_all,dsm_mean_height_all,dsm_max_height,dsm_mean_height_buildings_only,umep_dsm_resolution_m,umep_shadow_date,umep_shadow_time_window
TP_0517,1.0,0.0,2500,2500,0.9951964616775513,0.9930278658866882,0.9972111582756042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951964616775513,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0518,1.0,0.0,2500,2500,0.9968754053115845,0.995816707611084,0.9986055493354797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9968754053115845,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0519,1.0,0.0,2500,2500,0.9981721639633179,0.995816707611084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981721639633179,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0520,1.0,0.0,2500,2500,0.9990936517715454,0.9986055493354797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990936517715454,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0521,1.0,0.0,2500,2500,0.9993836879730225,0.9986055493354797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993836879730225,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0522,1.0,0.0,2500,2500,0.9999642372131348,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999642372131348,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0523,1.0,0.0,2500,2500,0.9967031478881836,0.995816707611084,0.9986055493354797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967031478881836,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0524,1.0,0.0,2500,2500,0.9959785342216492,0.9944223165512085,0.9972111582756042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959785342216492,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0525,1.0,0.0,2500,2500,0.993094265460968,0.9902390241622925,0.995816707611084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993094265460968,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0526,1.0,0.0,2500,2500,0.9892333745956421,0.9860557317733765,0.991633415222168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892333745956421,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
