building_id,source_name,geometry_source,area_m2,height_m,height_source,height_confidence,lu_desc_v10,height_warning
v10_bldg_001001,osm,osm,1042.8438296111176,78.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001014,osm,osm,1013.1253711865594,78.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001235,osm,osm,617.2086131666952,78.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001048,osm,osm,940.3053303284211,75.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001116,osm,osm,809.7641041445864,75.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001175,osm,osm,706.6608109901488,75.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000653,ura,ura,577.5646717661019,75.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000654,ura,ura,560.910422903389,75.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000486,hdb3d,hdb3d,704.5718048721214,74.1,height_m,high,RESIDENTIAL,
v10_bldg_001168,osm,osm,719.4788980459688,72.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000263,hdb3d,hdb3d,1271.5631628229587,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000287,hdb3d,hdb3d,1234.7182800597639,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000293,hdb3d,hdb3d,1226.8201080760984,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000315,hdb3d,hdb3d,1193.346020936563,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000326,hdb3d,hdb3d,1147.3837918472605,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000345,hdb3d,hdb3d,1078.7025586521095,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000385,hdb3d,hdb3d,990.597153510064,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000386,hdb3d,hdb3d,990.4273324276368,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000438,hdb3d,hdb3d,854.2025331142796,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000442,hdb3d,hdb3d,841.5029315307636,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000444,hdb3d,hdb3d,841.3518311362625,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000445,hdb3d,hdb3d,839.4291775083176,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000467,hdb3d,hdb3d,744.9324097308365,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000469,hdb3d,hdb3d,740.9620400956651,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000472,hdb3d,hdb3d,736.3062788787106,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000473,hdb3d,hdb3d,732.7654731836458,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000474,hdb3d,hdb3d,732.6937513062561,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000475,hdb3d,hdb3d,726.3786483935332,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000476,hdb3d,hdb3d,721.1459265673639,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000477,hdb3d,hdb3d,721.0148798572397,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000478,hdb3d,hdb3d,721.0147908900453,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000483,hdb3d,hdb3d,704.6280922667531,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000485,hdb3d,hdb3d,704.6277464042435,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000487,hdb3d,hdb3d,704.512809225146,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000488,hdb3d,hdb3d,704.5121083472147,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000492,hdb3d,hdb3d,696.3792247759003,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000495,hdb3d,hdb3d,692.0428809001619,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000497,hdb3d,hdb3d,671.6776462383073,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000498,hdb3d,hdb3d,671.5466279214127,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000510,hdb3d,hdb3d,607.127248589995,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000512,hdb3d,hdb3d,603.8573840481167,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000516,hdb3d,hdb3d,590.0909972601027,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000517,hdb3d,hdb3d,589.9519111322115,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000520,hdb3d,hdb3d,581.8951684389203,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000521,hdb3d,hdb3d,581.7685510884934,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000522,hdb3d,hdb3d,581.758196243942,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000537,hdb3d,hdb3d,547.8254313925877,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000543,hdb3d,hdb3d,486.9630709020319,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000546,hdb3d,hdb3d,484.77441054185346,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000549,hdb3d,hdb3d,465.04162814984363,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000550,hdb3d,hdb3d,457.53482642241045,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000551,hdb3d,hdb3d,457.5339832694271,71.3,height_m,high,RESIDENTIAL,
v10_bldg_000996,osm,osm,1058.044331207234,69.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001023,osm,osm,999.8607744692058,69.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001030,osm,osm,975.1210875160717,69.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001034,osm,osm,967.3396445453293,69.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001044,osm,osm,945.7915365693325,69.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001085,osm,osm,856.9021523349352,69.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000102,hdb3d,hdb3d,1859.193870680327,68.5,height_m,high,RESIDENTIAL,
v10_bldg_000105,hdb3d,hdb3d,1850.145983315826,68.5,height_m,high,RESIDENTIAL,
v10_bldg_001021,osm,osm,1001.1654465685704,66.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001022,osm,osm,1000.5056961102717,66.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001063,osm,osm,899.2584986410786,66.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001083,osm,osm,861.7250107578968,66.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001154,osm,osm,743.637940529465,66.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001354,osm,osm,481.2637039629832,66.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001454,osm,osm,406.5363880917812,66.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000413,hdb3d,hdb3d,917.6636008902062,65.7,height_m,high,RESIDENTIAL,
v10_bldg_001053,osm,osm,928.7413405653155,63.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001069,osm,osm,888.4729932405943,63.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001151,osm,osm,748.1075736887815,63.0,osm_levels_x_3m:levels_original,medium_high,COMMERCIAL & RESIDENTIAL,
v10_bldg_001160,osm,osm,738.0698742962754,63.0,osm_levels_x_3m:levels_original,medium_high,COMMERCIAL & RESIDENTIAL,
v10_bldg_000245,hdb3d,hdb3d,1313.0755522969287,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000283,hdb3d,hdb3d,1239.6217726816703,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000289,hdb3d,hdb3d,1233.3525118100288,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000290,hdb3d,hdb3d,1231.0029648107407,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000311,hdb3d,hdb3d,1198.124777893514,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000330,hdb3d,hdb3d,1134.971278290954,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000339,hdb3d,hdb3d,1097.348322949987,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000381,hdb3d,hdb3d,1000.4421009695166,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000420,hdb3d,hdb3d,903.7692456228323,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000422,hdb3d,hdb3d,901.9936485869027,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000423,hdb3d,hdb3d,896.243123126164,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000431,hdb3d,hdb3d,866.2002997154727,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000448,hdb3d,hdb3d,826.7915195438381,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000449,hdb3d,hdb3d,826.5030767205342,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000450,hdb3d,hdb3d,826.4165113673421,62.9,height_m,high,RESIDENTIAL,
v10_bldg_000134,hdb3d,hdb3d,1720.8050522064866,60.1,height_m,high,RESIDENTIAL,
v10_bldg_000479,hdb3d,hdb3d,720.9440137416536,60.1,height_m,high,RESIDENTIAL,
v10_bldg_000481,hdb3d,hdb3d,707.8592460384829,60.1,height_m,high,RESIDENTIAL,
v10_bldg_000482,hdb3d,hdb3d,705.3477357096101,60.1,height_m,high,RESIDENTIAL,
v10_bldg_000484,hdb3d,hdb3d,704.6279219475664,60.1,height_m,high,RESIDENTIAL,
v10_bldg_000507,hdb3d,hdb3d,622.3562728361004,60.1,height_m,high,COMMERCIAL & RESIDENTIAL,
v10_bldg_000526,hdb3d,hdb3d,577.1450222968128,60.1,height_m,high,RESIDENTIAL,
v10_bldg_000800,osm,osm,2276.418718468091,60.0,osm_levels_x_3m:levels_original,medium_high,HOTEL,
v10_bldg_001119,osm,osm,804.8855402864639,60.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001121,osm,osm,803.3287202620427,60.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001123,osm,osm,802.1426636919247,60.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001203,osm,osm,668.2518056044528,60.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001313,osm,osm,521.2350618435747,60.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
