candidate_id,source_name,source_building_id,area_m2,dedup_status,canonical_building_id,best_candidate_overlap,best_iou,best_existing_overlap,best_centroid_distance_m,best_area_ratio,best_existing_building_id
cand_osm_000764,osm,osm_260740397,356.07899933383896,accepted_new,v10_bldg_001545,0.0,,,,,
cand_osm_001051,osm,osm_287646944,355.6556938391136,accepted_new,v10_bldg_001546,0.0,,,,,
cand_osm_001527,osm,osm_453378347,355.4708290024413,accepted_new,v10_bldg_001547,0.0,,,,,
cand_osm_000989,osm,osm_271791494,355.44225221584213,accepted_new,v10_bldg_001548,0.0,,,,,
cand_osm_001784,osm,osm_453592399,355.2713413189243,accepted_new,v10_bldg_001549,0.0,,,,,
cand_osm_002457,osm,osm_454199800,355.0819980177488,accepted_new,v10_bldg_001550,0.0,,,,,
cand_osm_000930,osm,osm_261170720,354.59213605604396,accepted_new,v10_bldg_001551,0.0,,,,,
cand_osm_001761,osm,osm_453592370,354.45768060219706,accepted_new,v10_bldg_001552,0.0,,,,,
cand_osm_002297,osm,osm_453961440,353.83317491742605,accepted_new,v10_bldg_001553,0.0,,,,,
cand_osm_001793,osm,osm_453592411,353.56035041937474,accepted_new,v10_bldg_001554,0.0,,,,,
cand_osm_000860,osm,osm_261166378,353.25267032332033,accepted_new,v10_bldg_001555,0.0,,,,,
cand_osm_002530,osm,osm_455063888,352.6950326929942,merged_duplicate,v10_bldg_000664,0.8760672769101738,0.6970794741738634,0.7733402935807979,3.016166630161252,0.8827407597146117,v10_bldg_000664
cand_osm_002000,osm,osm_453793314,351.9055886601567,accepted_new,v10_bldg_001556,0.0,,,,,
cand_osm_003127,osm,osm_727217777,351.8943259436915,accepted_new,v10_bldg_001557,0.0,,,,,
cand_osm_001759,osm,osm_453592367,350.8594097520769,accepted_new,v10_bldg_001558,0.0,,,,,
cand_osm_001757,osm,osm_453592364,350.2991755838495,accepted_new,v10_bldg_001559,0.0,,,,,
cand_osm_003580,osm,osm_875707778,349.7125269760125,accepted_new,v10_bldg_001560,0.0,,,,,
cand_osm_001775,osm,osm_453592389,349.0321105907218,accepted_new,v10_bldg_001561,0.0,,,,,
cand_osm_002023,osm,osm_453793339,348.7480432954427,accepted_new,v10_bldg_001562,0.0,,,,,
cand_osm_001711,osm,osm_453520123,348.69826294887423,accepted_new,v10_bldg_001563,0.0,,,,,
cand_osm_001638,osm,osm_453470917,348.47844237940757,accepted_new,v10_bldg_001564,0.0,,,,,
cand_osm_002157,osm,osm_453941684,347.0406748290112,accepted_new,v10_bldg_001565,0.0,,,,,
cand_osm_001798,osm,osm_453592416,346.940148145953,accepted_new,v10_bldg_001566,0.0,,,,,
cand_osm_002132,osm,osm_453940663,346.8626502716801,accepted_new,v10_bldg_001567,0.0,,,,,
cand_osm_001345,osm,osm_439331358,346.7523674583364,merged_duplicate,v10_bldg_000671,0.9845509348278836,0.9693432177202335,0.9843150767615028,0.16454266342960894,0.9997604409705608,v10_bldg_000671
cand_osm_001799,osm,osm_453592417,345.90541937111766,accepted_new,v10_bldg_001568,0.0,,,,,
cand_osm_002664,osm,osm_455153929,345.904237913425,merged_duplicate,v10_bldg_000560,0.6414994573876373,0.4722114094218479,0.6414994554038077,6.0219790465191325,0.9999999969075118,v10_bldg_000560
cand_osm_001709,osm,osm_453520121,345.7391020822976,accepted_new,v10_bldg_001569,0.0,,,,,
cand_osm_003579,osm,osm_875707777,345.4761865470733,accepted_new,v10_bldg_001570,0.0,,,,,
cand_osm_000851,osm,osm_261166368,345.40448143246977,accepted_new,v10_bldg_001571,0.0,,,,,
cand_osm_001350,osm,osm_439331373,344.85507044031476,merged_duplicate,v10_bldg_000670,0.9822409849739645,0.9595442514083756,0.9764849527656215,0.2954879059332785,0.9941398981549363,v10_bldg_000670
cand_osm_000905,osm,osm_261166424,344.7631349724724,accepted_new,v10_bldg_001572,0.0,,,,,
cand_osm_002199,osm,osm_453947887,344.68416098007975,accepted_new,v10_bldg_001573,0.0,,,,,
cand_osm_001736,osm,osm_453520159,344.07758118239417,accepted_new,v10_bldg_001574,0.0,,,,,
cand_osm_002659,osm,osm_455152636,344.06460244820437,accepted_new,v10_bldg_001575,0.0,,,,,
cand_osm_001445,osm,osm_453366947,343.4147761884924,accepted_new,v10_bldg_001576,0.0,,,,,
cand_osm_002221,osm,osm_453956220,343.2993691073091,accepted_new,v10_bldg_001577,0.0,,,,,
cand_osm_000815,osm,osm_261019248,343.2077079235489,accepted_new,v10_bldg_001578,0.0,,,,,
