model_name,event_target,output_kind,output_id,validation_method,operating_point,station_id,focus_station_flag,threshold_mean,n,event_count,observed_event_rate,mean_output_value,probability_bias,Brier,TP,FP,FN,TN,precision,recall,F1,CSI,false_alarm_ratio,miss_rate
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S140,False,0.32999999999999985,62,4,0.06451612903225806,0.12292095014755658,0.058404821115298516,0.04472528033248844,4,6,0,52,0.4,1.0,0.5714285714285715,0.4,0.6,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S141,False,0.3099999999999999,62,10,0.16129032258064516,0.11677560563142728,-0.04451471694921788,0.06240151964915201,8,2,2,50,0.8,0.8,0.8000000000000002,0.6666666666666666,0.2,0.2
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S142,True,0.3099999999999999,62,15,0.24193548387096775,0.11143169434521016,-0.13050378952575759,0.09622853646690692,9,0,6,47,1.0,0.6,0.7499999999999999,0.6,0.0,0.4
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S143,False,0.32000000000000006,62,7,0.11290322580645161,0.12714932208454324,0.014246096278091633,0.04484952255685887,7,3,0,52,0.7,1.0,0.8235294117647058,0.7,0.3,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S144,False,0.32000000000000006,62,8,0.12903225806451613,0.13014835646807413,0.0011160984035580024,0.042231704812490355,8,3,0,51,0.7272727272727273,1.0,0.8421052631578948,0.7272727272727273,0.2727272727272727,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S145,False,0.32000000000000006,62,8,0.12903225806451613,0.10782165011022615,-0.021210607954289973,0.03453526363409748,8,1,0,53,0.8888888888888888,1.0,0.9411764705882353,0.8888888888888888,0.1111111111111111,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S146,False,0.32999999999999985,62,3,0.04838709677419355,0.12186546152393991,0.07347836474974637,0.05207423937903605,3,8,0,51,0.2727272727272727,1.0,0.42857142857142855,0.2727272727272727,0.7272727272727273,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S147,False,0.32000000000000006,62,10,0.16129032258064516,0.12786595986030755,-0.03342436272033761,0.04122238282069542,9,2,1,50,0.8181818181818182,0.9,0.8571428571428572,0.75,0.18181818181818182,0.1
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S148,False,0.32999999999999985,62,5,0.08064516129032258,0.1312514823217869,0.05060632103146433,0.06542958351918104,4,7,1,50,0.36363636363636365,0.8,0.5000000000000001,0.3333333333333333,0.6363636363636364,0.2
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S149,False,0.32999999999999985,62,5,0.08064516129032258,0.13069158543166973,0.05004642414134715,0.06120881491508287,4,7,1,50,0.36363636363636365,0.8,0.5000000000000001,0.3333333333333333,0.6363636363636364,0.2
M7_compact_weather_ridge,ge31,probability,logistic_score_only,station_grouped_loso,best_F1,S150,False,0.32999999999999985,62,3,0.04838709677419355,0.12451580641178916,0.07612870963759562,0.05889504868572775,3,7,0,52,0.3,1.0,0.4615384615384615,0.3,0.7,0.0
