target,model,feature_set,split_family,MAE,RMSE,R2,bias,median_abs_error,p90_abs_error,spearman,pearson,improvement_over_featureless_MAE,n_folds,n_test_rows,is_candidate_model,is_best_non_featureless_by_mae,model_card_interpretation
delta_tmrt_p90_c,featureless_mean,physical_core,feature_bin_holdout,4.091746756434035,6.494897418976484,-2.33725783350092,1.7354806106384288,2.211987848084054,10.813658604946877,,,0.0,10,3480,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,ridge,physical_core,feature_bin_holdout,8.99701334614629,22.84653070869641,-199.8726899033393,5.5028075331980535,2.519954467267603,20.371523950566424,0.4992375219745427,0.5342919776693746,-4.905266589712253,10,3480,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,random_forest,physical_core,hour_holdout,0.756300347285717,1.8337729743789304,0.801283421327524,-0.0010151031172877,0.2346674374455954,1.273187837578361,0.9639691307473782,0.9752692254772748,2.069886813197749,5,1500,False,True,primary_delta_tmrt_evidence
delta_tmrt_p90_c,extra_trees,physical_core,hour_holdout,0.7593832599630506,1.834605819639838,0.8008909287479179,-1.6930901125533636e-16,0.2338440864145043,1.2589880263683355,0.9634378270779848,0.975142537046097,2.066803900520416,5,1500,True,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,hist_gradient_boosting,physical_core,hour_holdout,0.7866238594457752,1.9367829339017573,0.7914045466334985,-5.470567054910447e-11,0.2301304682695447,1.2563255052489355,0.9640983735108016,0.97498101925352,2.039563301037691,5,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,ridge,physical_core,hour_holdout,1.3544125606013562,2.227222433221613,0.7688041582354946,-6.467049118441537e-16,0.792919558793106,3.102787443831025,0.6654451820376652,0.9442426605118396,1.4717745998821103,5,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,elasticnet,physical_core,hour_holdout,1.4884742785745315,2.37280971882622,0.7444503839131839,-3.275157922644212e-16,0.8679190967290807,3.5024473862991017,0.5758697134069866,0.9293328338400018,1.3377128819089346,5,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,featureless_mean,physical_core,hour_holdout,2.8261871604834665,5.166200240578162,-0.0144308782227331,-3.164135620181696e-16,1.9145455945332843,2.8079284919738803,,,0.0,5,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,random_forest,physical_core,scenario_holdout,0.7341655110121847,1.5848682282749236,0.9098169106360868,0.0042174525434065,0.263321767806537,1.78486940261841,0.8949391607170213,0.9538509288570672,2.090375662225934,2,1500,False,True,primary_delta_tmrt_evidence
delta_tmrt_p90_c,hist_gradient_boosting,physical_core,scenario_holdout,0.73457131321499,1.5820678637806609,0.9101439451193412,2.700233040636712e-10,0.264556476926174,1.800672249969721,0.8949385207022251,0.9540290319008344,2.0899698600231287,2,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,extra_trees,physical_core,scenario_holdout,0.7359213056040972,1.5827154680854894,0.9100729084344714,-3.413068438984368e-16,0.2710386802834599,1.7863452751522957,0.8945204488148291,0.9539907601236136,2.088619867634021,2,1500,True,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,ridge,physical_core,scenario_holdout,1.3668121513273208,2.1480234381617103,0.8343989882823315,-9.762156361059482e-16,0.8472091791592558,2.826765843670581,0.6127904929667833,0.914962975231206,1.4577290219107977,2,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,elasticnet,physical_core,scenario_holdout,1.4103649288909836,2.160779446398238,0.8324240601724318,-6.852157730108388e-17,0.887406310104975,3.157202048894129,0.5757835798955804,0.9135037615841848,1.4141762443471348,2,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,featureless_mean,physical_core,scenario_holdout,2.824541173238119,5.278627117970467,-8.660827285345007e-07,-3.790370795009324e-16,1.8813545608520523,2.804119049072269,,,0.0,2,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,extra_trees,physical_core,spatial_holdout,0.9891581550598996,1.7591271500176784,0.8762095360804496,-0.0709188509893522,0.5228539050324028,2.4911879614536474,0.727949676110239,0.9372824498453172,1.8576668047829732,4,1500,True,True,primary_delta_tmrt_evidence
delta_tmrt_p90_c,random_forest,physical_core,spatial_holdout,1.0873462159185825,1.9127361437746648,0.8562902698728823,-0.1296094827234893,0.6081220990141922,2.6556236214785547,0.6786238404053268,0.9281620234504578,1.7594787439242905,4,1500,False,False,primary_delta_tmrt_evidence
