dataset,model,event_threshold_c,threshold_c,precision,recall,f1,tp,fp,fn,tn,n_pos,n_pred_pos
hourly_max,M4_inertia_ridge,31.0,28.2,0.36363636363636365,1.0,0.5333333333333333,204,357,0,1113,204,561
hourly_max,M4_inertia_ridge,31.0,28.25,0.36363636363636365,1.0,0.5333333333333333,204,357,0,1113,204,561
hourly_max,M4_inertia_ridge,31.0,28.3,0.36428571428571427,1.0,0.5340314136125655,204,356,0,1114,204,560
hourly_max,M4_inertia_ridge,31.0,28.35,0.3655913978494624,1.0,0.5354330708661417,204,354,0,1116,204,558
hourly_max,M4_inertia_ridge,31.0,28.4,0.36624775583482944,1.0,0.5361366622864652,204,353,0,1117,204,557
hourly_max,M4_inertia_ridge,31.0,28.45,0.36823104693140796,1.0,0.5382585751978892,204,350,0,1120,204,554
hourly_max,M4_inertia_ridge,31.0,28.5,0.3695652173913043,1.0,0.5396825396825397,204,348,0,1122,204,552
hourly_max,M4_inertia_ridge,31.0,28.55,0.3743119266055046,1.0,0.5447263017356475,204,341,0,1129,204,545
hourly_max,M4_inertia_ridge,31.0,28.6,0.3813084112149533,1.0,0.5520974289580514,204,331,0,1139,204,535
hourly_max,M4_inertia_ridge,31.0,28.65,0.384180790960452,1.0,0.5551020408163265,204,327,0,1143,204,531
hourly_max,M4_inertia_ridge,31.0,28.7,0.38857142857142857,1.0,0.5596707818930041,204,321,0,1149,204,525
hourly_max,M4_inertia_ridge,31.0,28.75,0.39264990328820115,0.9950980392156863,0.5631067961165048,203,314,1,1156,204,517
hourly_max,M4_inertia_ridge,31.0,28.8,0.3972602739726027,0.9950980392156863,0.5678321678321678,203,308,1,1162,204,511
hourly_max,M4_inertia_ridge,31.0,28.85,0.40763052208835343,0.9950980392156863,0.5783475783475783,203,295,1,1175,204,498
hourly_max,M4_inertia_ridge,31.0,28.9,0.4161490683229814,0.9852941176470589,0.5851528384279476,201,282,3,1188,204,483
hourly_max,M4_inertia_ridge,31.0,28.95,0.423728813559322,0.9803921568627451,0.591715976331361,200,272,4,1198,204,472
hourly_max,M4_inertia_ridge,31.0,29.0,0.42795698924731185,0.9754901960784313,0.5949177877428999,199,266,5,1204,204,465
hourly_max,M4_inertia_ridge,31.0,29.05,0.43013100436681223,0.9656862745098039,0.595166163141994,197,261,7,1209,204,458
hourly_max,M4_inertia_ridge,31.0,29.1,0.43171806167400884,0.9607843137254902,0.5957446808510639,196,258,8,1212,204,454
hourly_max,M4_inertia_ridge,31.0,29.15,0.43458980044345896,0.9607843137254902,0.598473282442748,196,255,8,1215,204,451
hourly_max,M4_inertia_ridge,31.0,29.2,0.44419134396355353,0.9558823529411765,0.6065318818040436,195,244,9,1226,204,439
hourly_max,M4_inertia_ridge,31.0,29.25,0.45348837209302323,0.9558823529411765,0.6151419558359621,195,235,9,1235,204,430
hourly_max,M4_inertia_ridge,31.0,29.3,0.46208530805687204,0.9558823529411765,0.623003194888179,195,227,9,1243,204,422
hourly_max,M4_inertia_ridge,31.0,29.35,0.4665071770334928,0.9558823529411765,0.6270096463022508,195,223,9,1247,204,418
hourly_max,M4_inertia_ridge,31.0,29.4,0.4744525547445255,0.9558823529411765,0.6341463414634148,195,216,9,1254,204,411
hourly_max,M4_inertia_ridge,31.0,29.45,0.47794117647058826,0.9558823529411765,0.6372549019607844,195,213,9,1257,204,408
hourly_max,M4_inertia_ridge,31.0,29.5,0.48872180451127817,0.9558823529411765,0.6467661691542289,195,204,9,1266,204,399
hourly_max,M4_inertia_ridge,31.0,29.55,0.49872122762148335,0.9558823529411765,0.6554621848739496,195,196,9,1274,204,391
hourly_max,M4_inertia_ridge,31.0,29.6,0.5078125,0.9558823529411765,0.6632653061224489,195,189,9,1281,204,384
hourly_max,M4_inertia_ridge,31.0,29.65,0.5158730158730159,0.9558823529411765,0.6701030927835052,195,183,9,1287,204,378
hourly_max,M4_inertia_ridge,31.0,29.7,0.52,0.9558823529411765,0.6735751295336788,195,180,9,1290,204,375
hourly_max,M4_inertia_ridge,31.0,29.75,0.5227882037533512,0.9558823529411765,0.6759098786828424,195,178,9,1292,204,373
hourly_max,M4_inertia_ridge,31.0,29.8,0.5256064690026954,0.9558823529411765,0.6782608695652174,195,176,9,1294,204,371
hourly_max,M4_inertia_ridge,31.0,29.85,0.5431754874651811,0.9558823529411765,0.6927175843694494,195,164,9,1306,204,359
hourly_max,M4_inertia_ridge,31.0,29.9,0.547752808988764,0.9558823529411765,0.6964285714285713,195,161,9,1309,204,356
hourly_max,M4_inertia_ridge,31.0,29.95,0.5464788732394367,0.9509803921568627,0.6940966010733454,194,161,10,1309,204,355
hourly_max,M4_inertia_ridge,31.0,30.0,0.5488505747126436,0.9362745098039216,0.6920289855072463,191,157,13,1313,204,348
hourly_max,M4_inertia_ridge,31.0,30.05,0.5579268292682927,0.8970588235294118,0.6879699248120302,183,145,21,1325,204,328
hourly_max,M4_inertia_ridge,31.0,30.1,0.5659163987138264,0.8627450980392157,0.6834951456310678,176,135,28,1335,204,311
hourly_max,M4_inertia_ridge,31.0,30.15,0.5770491803278689,0.8627450980392157,0.6915520628683695,176,129,28,1341,204,305
hourly_max,M4_inertia_ridge,31.0,30.2,0.5813953488372093,0.8578431372549019,0.6930693069306931,175,126,29,1344,204,301
hourly_max,M4_inertia_ridge,31.0,30.25,0.5878378378378378,0.8529411764705882,0.696,174,122,30,1348,204,296
hourly_max,M4_inertia_ridge,31.0,30.3,0.5902777777777778,0.8333333333333334,0.6910569105691058,170,118,34,1352,204,288
hourly_max,M4_inertia_ridge,31.0,30.35,0.5928571428571429,0.8137254901960784,0.6859504132231405,166,114,38,1356,204,280
hourly_max,M4_inertia_ridge,31.0,30.4,0.6036363636363636,0.8137254901960784,0.6931106471816284,166,109,38,1361,204,275
hourly_max,M4_inertia_ridge,31.0,30.45,0.6150943396226415,0.7990196078431373,0.6950959488272922,163,102,41,1368,204,265
hourly_max,M4_inertia_ridge,31.0,30.5,0.6313725490196078,0.7892156862745098,0.701525054466231,161,94,43,1376,204,255
hourly_max,M4_inertia_ridge,31.0,30.55,0.6345381526104418,0.7745098039215687,0.6975717439293598,158,91,46,1379,204,249
hourly_max,M4_inertia_ridge,31.0,30.6,0.6666666666666666,0.7745098039215687,0.7165532879818594,158,79,46,1391,204,237
hourly_max,M4_inertia_ridge,31.0,30.65,0.6738197424892703,0.7696078431372549,0.7185354691075515,157,76,47,1394,204,233
hourly_max,M4_inertia_ridge,31.0,30.7,0.6826086956521739,0.7696078431372549,0.7235023041474655,157,73,47,1397,204,230
hourly_max,M4_inertia_ridge,31.0,30.75,0.6756756756756757,0.7352941176470589,0.7042253521126761,150,72,54,1398,204,222
hourly_max,M4_inertia_ridge,31.0,30.8,0.6666666666666666,0.696078431372549,0.6810551558752996,142,71,62,1399,204,213
hourly_max,M4_inertia_ridge,31.0,30.85,0.6747572815533981,0.6813725490196079,0.6780487804878048,139,67,65,1403,204,206
hourly_max,M4_inertia_ridge,31.0,30.9,0.6736842105263158,0.6274509803921569,0.6497461928934011,128,62,76,1408,204,190
hourly_max,M4_inertia_ridge,31.0,30.95,0.6813186813186813,0.6078431372549019,0.6424870466321244,124,58,80,1412,204,182
hourly_max,M4_inertia_ridge,31.0,31.0,0.6818181818181818,0.5882352941176471,0.631578947368421,120,56,84,1414,204,176
hourly_max,M4_inertia_ridge,31.0,31.05,0.675,0.5294117647058824,0.5934065934065933,108,52,96,1418,204,160
hourly_max,M4_inertia_ridge,31.0,31.1,0.6690140845070423,0.46568627450980393,0.5491329479768786,95,47,109,1423,204,142
hourly_max,M4_inertia_ridge,31.0,31.15,0.6639344262295082,0.39705882352941174,0.4969325153374233,81,41,123,1429,204,122
hourly_max,M4_inertia_ridge,31.0,31.2,0.7027027027027027,0.38235294117647056,0.4952380952380953,78,33,126,1437,204,111
hourly_max,M4_inertia_ridge,31.0,31.25,0.74,0.3627450980392157,0.48684210526315785,74,26,130,1444,204,100
