sensitivity_id,validation_method,event_target,official_event_threshold_c,companion_id,model_family,output_kind,diagnostic_only,operating_point,threshold_source,status,n_folds_evaluated,threshold,threshold_min,threshold_max,precision,recall,F1,CSI,false_alarm_ratio,miss_rate,TP,FP,FN,TN,n,fold_recall_std,fold_precision_std
all,station_grouped_loso,ge31,31.0,v09_proxy_score,M0_raw_proxy,score,False,recall90,train_selected,evaluated_on_heldout,27,26.659259259259258,26.65,26.7,0.33634719710669075,0.9117647058823529,0.49141347424042264,0.3257443082311734,0.6636528028933092,0.08823529411764706,186.0,367.0,18.0,1103.0,1674.0,0.0910228835791702,0.1553661964882023
all,station_grouped_loso,ge31,31.0,wbgt_a_m4_score,M4_inertia_ridge,score,False,best_F1,train_selected,evaluated_on_heldout,27,30.700000000000003,30.7,30.7,0.6826086956521739,0.7696078431372549,0.7235023041474655,0.5667870036101083,0.3173913043478261,0.23039215686274508,157.0,73.0,47.0,1397.0,1674.0,0.14071453564269942,0.2725296796498141
all,station_grouped_loso,ge31,31.0,wbgt_a_m4_score,M4_inertia_ridge,score,False,fixed_31,fixed,evaluated_on_heldout,27,31.0,31.0,31.0,0.6818181818181818,0.5882352941176471,0.631578947368421,0.46153846153846156,0.3181818181818182,0.4117647058823529,120.0,56.0,84.0,1414.0,1674.0,0.1728064814298121,0.2905397979185366
all,station_grouped_loso,ge31,31.0,wbgt_a_m4_score,M4_inertia_ridge,score,False,precision70,train_selected,evaluated_on_heldout,27,31.18333333333334,30.7,31.25,0.6581196581196581,0.37745098039215685,0.47975077881619943,0.3155737704918033,0.3418803418803419,0.6225490196078431,77.0,40.0,127.0,1430.0,1674.0,0.19291154360823207,0.2951948549194452
all,station_grouped_loso,ge31,31.0,wbgt_a_m4_score,M4_inertia_ridge,score,False,recall90,train_selected,evaluated_on_heldout,27,30.005555555555556,29.9,30.05,0.5420289855072464,0.9166666666666666,0.6812386156648451,0.5165745856353591,0.4579710144927536,0.08333333333333333,187.0,158.0,17.0,1312.0,1674.0,0.09763108346185627,0.23316717483478133
no_s142_eval,blocked_time,ge31,31.0,isotonic_m4_score_ge31,sklearn_isotonic_regression,probability,False,best_F1,train_selected,evaluated_on_heldout,5,0.16199999999999998,0.11,0.37,0.4597315436241611,0.7248677248677249,0.5626283367556467,0.3914285714285714,0.540268456375839,0.2751322751322751,137.0,161.0,52.0,1262.0,1612.0,0.29309473980325274,0.2167466311384204
no_s142_eval,blocked_time,ge31,31.0,isotonic_m4_score_ge31,sklearn_isotonic_regression,probability,False,precision70,train_selected,skipped_unachievable,0,,,,,,,,,,,,,,,,
no_s142_eval,blocked_time,ge31,31.0,isotonic_m4_score_ge31,sklearn_isotonic_regression,probability,False,recall90,train_selected,evaluated_on_heldout,5,0.186,0.14,0.25,0.4605263157894737,0.7407407407407407,0.5679513184584178,0.39660056657223797,0.5394736842105263,0.25925925925925924,140.0,164.0,49.0,1259.0,1612.0,0.29201769840689545,0.2169693342998938
no_s142_eval,blocked_time,ge31,31.0,logistic_P_ge31_safe_features,sklearn_logistic_regression,probability,False,best_F1,train_selected,evaluated_on_heldout,5,0.17600000000000002,0.12,0.19,0.3556851311953353,0.6455026455026455,0.45864661654135336,0.2975609756097561,0.6443148688046647,0.3544973544973545,122.0,221.0,67.0,1202.0,1612.0,0.261874282071585,0.15985489742647768
no_s142_eval,blocked_time,ge31,31.0,logistic_P_ge31_safe_features,sklearn_logistic_regression,probability,False,precision70,train_selected,evaluated_on_heldout,1,0.72,0.72,0.72,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,4.0,202.0,208.0,0.0,0.0
no_s142_eval,blocked_time,ge31,31.0,logistic_P_ge31_safe_features,sklearn_logistic_regression,probability,False,recall90,train_selected,evaluated_on_heldout,1,0.09,0.09,0.09,0.3197278911564626,0.46534653465346537,0.3790322580645161,0.23383084577114427,0.6802721088435374,0.5346534653465347,47.0,100.0,54.0,371.0,572.0,0.0,0.0
no_s142_eval,blocked_time,ge31,31.0,m7_compact_weather_score,M7_compact_weather_ridge,score,False,best_F1,train_selected,evaluated_on_heldout,5,30.26,29.2,31.45,0.390625,0.5291005291005291,0.449438202247191,0.2898550724637681,0.609375,0.4708994708994709,100.0,156.0,89.0,1267.0,1612.0,0.3631168427174106,0.2626111736652866
no_s142_eval,blocked_time,ge31,31.0,m7_compact_weather_score,M7_compact_weather_ridge,score,False,fixed_31,fixed,evaluated_on_heldout,5,31.0,31.0,31.0,0.5691489361702128,0.5661375661375662,0.5676392572944298,0.3962962962962963,0.4308510638297872,0.43386243386243384,107.0,81.0,82.0,1342.0,1612.0,0.34647456895726736,0.07665967854647099
no_s142_eval,blocked_time,ge31,31.0,m7_compact_weather_score,M7_compact_weather_ridge,score,False,precision70,train_selected,evaluated_on_heldout,5,32.06999999999999,31.15,32.3,0.5511811023622047,0.37037037037037035,0.4430379746835443,0.2845528455284553,0.44881889763779526,0.6296296296296297,70.0,57.0,119.0,1366.0,1612.0,0.3928371006591931,0.0
no_s142_eval,blocked_time,ge31,31.0,m7_compact_weather_score,M7_compact_weather_ridge,score,False,recall90,train_selected,evaluated_on_heldout,5,28.97,28.45,30.05,0.3835978835978836,0.7671957671957672,0.5114638447971781,0.34360189573459715,0.6164021164021164,0.2328042328042328,145.0,233.0,44.0,1190.0,1612.0,0.30653342045842935,0.19685961993967682
no_s142_eval,blocked_time,ge31,31.0,platt_m4_score_ge31,sklearn_logistic_regression,probability,False,best_F1,train_selected,evaluated_on_heldout,5,0.366,0.33,0.39,0.5595238095238095,0.746031746031746,0.6394557823129251,0.47,0.44047619047619047,0.25396825396825395,141.0,111.0,48.0,1312.0,1612.0,0.3643434054640533,0.27240209979523533
no_s142_eval,blocked_time,ge31,31.0,platt_m4_score_ge31,sklearn_logistic_regression,probability,False,precision70,train_selected,evaluated_on_heldout,5,0.6300000000000001,0.43,0.68,0.4796747967479675,0.31216931216931215,0.3782051282051282,0.233201581027668,0.5203252032520326,0.6878306878306878,59.0,64.0,130.0,1359.0,1612.0,0.2679456480752063,0.07500000000000001
no_s142_eval,blocked_time,ge31,31.0,platt_m4_score_ge31,sklearn_logistic_regression,probability,False,recall90,train_selected,evaluated_on_heldout,5,0.21000000000000002,0.19,0.23,0.4745308310991957,0.9365079365079365,0.6298932384341638,0.4597402597402597,0.5254691689008043,0.06349206349206349,177.0,196.0,12.0,1227.0,1612.0,0.33026417463034735,0.2231052597212646
no_s142_eval,blocked_time,ge31,31.0,v09_proxy_score,M0_raw_proxy,score,False,best_F1,train_selected,evaluated_on_heldout,5,27.02,26.85,27.7,0.3686131386861314,0.5343915343915344,0.4362850971922247,0.27900552486187846,0.6313868613138686,0.4656084656084656,101.0,173.0,88.0,1250.0,1612.0,0.41582878809983437,0.3026215362057901
no_s142_eval,blocked_time,ge31,31.0,v09_proxy_score,M0_raw_proxy,score,False,fixed_31,fixed,evaluated_on_heldout,5,31.0,31.0,31.0,,0.0,,0.0,,1.0,0.0,0.0,189.0,1423.0,1612.0,0.0,
no_s142_eval,blocked_time,ge31,31.0,v09_proxy_score,M0_raw_proxy,score,False,precision70,train_selected,evaluated_on_heldout,5,27.860000000000003,27.8,28.1,0.7195121951219512,0.31216931216931215,0.4354243542435424,0.2783018867924528,0.2804878048780488,0.6878306878306878,59.0,23.0,130.0,1400.0,1612.0,0.27693525711961275,0.15333333333333332
no_s142_eval,blocked_time,ge31,31.0,v09_proxy_score,M0_raw_proxy,score,False,recall90,train_selected,evaluated_on_heldout,5,26.759999999999998,26.6,27.0,0.4,0.8042328042328042,0.5342706502636204,0.3645083932853717,0.6,0.19576719576719576,152.0,228.0,37.0,1195.0,1612.0,0.41007458759181936,0.24280203050483928
