model,split_type,hour_sgt_numeric,n,bias_pred_minus_obs,mae,official_wbgt_mean,pred_wbgt_mean
M1_global_bias,LOSO,22.25,27,0.9635563276202155,0.9635563276202155,26.196296296296296,27.15985262391651
M1_global_bias,LOSO,22.5,27,0.9442104761860941,0.9529586978794138,26.225925925925928,27.17013640211202
M1_global_bias,LOSO,22.75,27,0.9359375221839213,0.9372592392966046,26.244444444444444,27.18038196662836
M1_global_bias,LOSO,23.25,27,0.908086513533084,0.9131011249234109,26.24074074074074,27.14882725427383
M1_global_bias,LOSO,23.5,27,0.9070142119575969,0.9070142119575969,26.2,27.107014211957594
M1_global_bias,LOSO,23.75,27,0.9058913190108068,0.9058913190108068,26.159259259259258,27.065150578270067
M1_global_bias,LOSO,0.0,27,0.9232368340446635,0.9232368340446635,26.1,27.02323683404466
M1_global_bias,LOSO,0.25,27,0.9366370006768646,0.939892725486878,26.06296296296296,26.999599963639827
M1_global_bias,LOSO,0.5,27,0.9426039759459108,0.9426039759459108,26.03333333333333,26.975937309279246
M1_global_bias,LOSO,0.75,27,0.9707675256427967,0.9707675256427967,25.98148148148148,26.95224900712428
M1_global_bias,LOSO,1.0,27,0.9729796358019153,0.9743519470623109,25.95555555555556,26.928535191357472
M1_global_bias,LOSO,1.25,27,0.9668935960053558,0.9719069508742,25.92222222222222,26.889115818227577
M1_global_bias,LOSO,1.5,27,0.9497072643846906,0.9583607003033303,25.900000000000002,26.84970726438469
M1_global_bias,LOSO,1.75,27,0.917716945578531,0.9226020942209178,25.89259259259259,26.810309538171126
M1b_period_bias,apparent,2.0,54,-0.07767011622387963,0.3698242842415258,25.559259259259267,25.48158914303539
M1b_period_bias,apparent,2.25,27,0.007451469378903265,0.3849798250818142,25.185185185185187,25.192636654564094
M1b_period_bias,apparent,2.5,27,0.024719551536674694,0.3824235343129128,25.15185185185185,25.176571403388525
M1b_period_bias,apparent,2.75,27,0.03084802897703009,0.354763528084789,25.129629629629626,25.160477658606656
M1b_period_bias,apparent,3.0,27,0.04435575854756261,0.3538324510568895,25.1,25.144355758547565
M1b_period_bias,apparent,3.25,27,0.03048144249914223,0.34646775235836536,25.077777777777783,25.108259220276917
M1b_period_bias,apparent,3.5,27,-0.005660799618580475,0.3515336579262435,25.07777777777778,25.072116978159197
M1b_period_bias,apparent,3.75,27,-0.05295920573862561,0.377621334887345,25.088888888888885,25.03592968315026
M1b_period_bias,apparent,4.0,27,-0.07437610003076855,0.37595496854746235,25.074074074074073,24.9996979740433
M1b_period_bias,apparent,4.25,27,-0.0370320054403387,0.37887828253482625,25.033333333333335,24.996301327892997
M1b_period_bias,apparent,4.5,27,0.02623151190948871,0.39376658583641394,24.96666666666667,24.992898178576155
M1b_period_bias,apparent,4.75,27,0.05245148541477317,0.3982903141423177,24.93703703703704,24.98948852245181
M1b_period_bias,apparent,5.0,27,0.015701985065356524,0.3806516619740692,24.97037037037037,24.986072355435727
M1b_period_bias,apparent,5.25,27,0.03751599371099122,0.3907384162374343,24.937037037037037,24.97455303074803
M1b_period_bias,apparent,5.5,27,0.08153992174137349,0.41075956783383466,24.88148148148148,24.963021403222857
M1b_period_bias,apparent,5.75,27,0.11444074092718018,0.4162272789835672,24.837037037037035,24.951477777964215
M1b_period_bias,apparent,6.0,27,0.15473726919639968,0.40365051688079356,24.78518518518518,24.939922454381584
M1b_period_bias,apparent,6.25,27,0.18360205849162572,0.42219661433907124,24.777777777777775,24.961379836269405
M1b_period_bias,apparent,6.5,27,0.20492299742298747,0.4472888122614208,24.777777777777782,24.98270077520076
M1b_period_bias,apparent,6.75,27,0.22610388196505476,0.4570996437000594,24.777777777777782,25.003881659742834
M1b_period_bias,apparent,7.0,27,0.26793852388363115,0.46018632470912274,24.77777777777778,25.045716301661407
M1b_period_bias,apparent,7.25,27,0.35145611477388383,0.4493284837677162,24.866666666666667,25.218122781440545
M1b_period_bias,apparent,7.5,27,0.3545045292221137,0.44399652949248486,25.037037037037038,25.391541566259153
M1b_period_bias,apparent,7.75,27,0.20362402053666845,0.4297573796456894,25.362962962962964,25.566586983499633
M1b_period_bias,apparent,8.0,27,-0.11467292782057562,0.4348528938189115,25.85925925925926,25.744586331438683
M1b_period_bias,apparent,8.25,27,-0.5568998750220799,0.6974540195076421,26.57777777777778,26.020877902755696
M1b_period_bias,apparent,8.5,27,-0.9644689728911452,1.0191695833988261,27.25925925925926,26.29479028636811
M1b_period_bias,apparent,8.75,27,-1.4185241984862833,1.446325866304392,27.985185185185188,26.566660986698903
M1b_period_bias,apparent,9.0,27,1.068339467673633,1.0908886503700705,28.422222222222224,29.490561689895852
M1b_period_bias,apparent,9.25,27,0.7820580105540746,0.9117915331554591,28.81851851851852,29.600576529072587
M1b_period_bias,apparent,9.5,27,0.6551770220358006,0.899076708495708,29.05185185185185,29.707028873887655
M1b_period_bias,apparent,9.75,27,0.6248213084581914,0.9091952169620209,29.185185185185187,29.81000649364338
M1b_period_bias,apparent,10.0,27,0.631777347229174,0.8236296088989371,29.277777777777775,29.909555125006953
M1b_period_bias,apparent,10.25,27,0.5158268808065901,0.9178832759349521,29.485185185185188,30.001012065991773
M1b_period_bias,apparent,10.5,27,0.3391730517595751,0.7482913698536509,29.75185185185185,30.091024903611423
M1b_period_bias,apparent,10.75,27,0.20921294760796824,0.5848126498294326,29.97037037037037,30.179583317978338
M1b_period_bias,apparent,11.0,27,0.16667170774587506,0.5523064733963009,30.1,30.266671707745875
M1b_period_bias,apparent,11.25,27,0.22596619348601094,0.6753098613724093,30.133333333333333,30.359299526819346
M1b_period_bias,apparent,11.5,27,0.09465921314859677,0.7449970045587009,30.355555555555558,30.45021476870415
M1b_period_bias,apparent,11.75,27,-0.03095164365382017,0.7785186422586768,30.570370370370373,30.53941872671655
M1b_period_bias,apparent,12.0,27,0.04173060708079627,0.6813012034250371,30.58518518518519,30.626915792265983
M1b_period_bias,apparent,12.25,27,-0.03720683068607203,0.7738896808811211,30.57407407407407,30.536867243388002
M1b_period_bias,apparent,12.5,27,-0.2681809998728846,0.8638019583239407,30.71481481481481,30.44663381494193
M1b_period_bias,apparent,12.75,27,-0.5067555519185973,0.8561753981537337,30.86296296296296,30.35620741104437
M1b_period_bias,apparent,13.0,27,-0.6788619029891902,0.8870001091055839,30.94444444444444,30.265582541455256
M1b_period_bias,apparent,13.25,27,-0.7062525602995137,0.8918380588580244,31.07407407407408,30.36782151377456
M1b_period_bias,apparent,13.5,27,-0.658533733806002,0.7661712049317082,31.13333333333333,30.474799599527337
