scan_root,path,exists,suffix,size_bytes,read_status,columns,column_count,has_cell_id,has_hour,has_scenario,has_primary_target,has_tmrt_p90,has_m_rad,has_feature_keywords,filename_mentions_n150,filename_mentions_surrogate
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_expected_run_log_schema.csv,True,.csv,1358,READABLE_HEADER,column_name|dtype|required|allowed_values_or_format|description,5,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_manual_qgis_run_instructions.md,True,.md,1611,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,True,.csv,3244,READABLE_HEADER,run_id|cell_id|forcing_day_id|date|hour_sgt|scenario|expected_output_group|expected_output_dir|expected_tmrt_path|expected_output_paths|source_f2d_run_id|source_f2d_expected_output_dir|qgis_solweig_executed,13,True,True,True,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_postrun_validation.csv,True,.csv,1102,READABLE_HEADER,run_id|phase|postrun_status|run_log_exists|run_log_status|expected_tmrt_path|file_exists|file_size_bytes|validation_status|notes,10,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_pre_execution_asset_check.csv,True,.csv,1214,READABLE_HEADER,run_id|cell_id|forcing_day_id|date|hour_sgt|scenario|cell_geometry_ready|raster_tiles_ready|svf_ready|met_forcing_ready|output_root_ready|qgis_manual_check_status|run_ready|pre_execution_status|blockers|notes,16,True,True,True,False,False,False,True,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md,True,.md,2484,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_raster_qa/b85_f3a_alignment_qa.csv,True,.csv,810,READABLE_HEADER,check_name|status|value|details,4,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_raster_qa/b85_f3a_forcing_day_contrast_summary.csv,True,.csv,753,READABLE_HEADER,scenario|fd01_forcing_day_id|fd02_forcing_day_id|contrast_direction|mean_delta_c|p50_delta_c|p90_delta_c|p95_delta_c|max_delta_c|min_delta_c|mean_difference_c|p90_difference_c|valid_overlap_pixels|qualitative_status|notes,15,False,False,True,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_raster_qa/b85_f3a_pairwise_delta_summary.csv,True,.csv,660,READABLE_HEADER,forcing_day_id|mean_delta_c|p50_delta_c|p90_delta_c|p95_delta_c|max_delta_c|min_delta_c|pct_pixels_delta_lt_minus_1|pct_pixels_delta_lt_minus_5|pct_pixels_delta_gt_1|valid_overlap_pixels|delta_direction_status|notes,13,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_raster_qa/b85_f3a_raster_inventory.csv,True,.csv,1728,READABLE_HEADER,run_id|cell_id|forcing_day_id|date|hour_sgt|scenario|raster_path|exists|file_size_bytes|crs|width|height|pixel_count|transform|nodata|dtype|band_count|opened_for_qa|copied_or_written|raster_backend|open_error,21,True,True,True,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_raster_qa/b85_f3a_raster_qa_report.md,True,.md,10550,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_raster_qa/b85_f3a_raster_stats.csv,True,.csv,2219,READABLE_HEADER,run_id|cell_id|forcing_day_id|date|hour_sgt|scenario|raster_path|valid_pixel_count|nodata_pixel_count|nodata_fraction|min_c|p01_c|p05_c|p25_c|mean_c|p50_c|p75_c|p90_c|p95_c|p99_c|max_c|std_c|pct_pixels_ge_35|pct_pixels_ge_40|pct_pixels_ge_45|pct_pixels_ge_50|pct_pixels_ge_55|pct_pixels_ge_60|sanity_status|sanity_notes,30,True,True,True,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_raster_qa/b85_f3a_sanity_checks.csv,True,.csv,5099,READABLE_HEADER,check_name|status|value|details,4,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3a_raster_qa/B8_5_F3A_QA_STATUS.md,True,.md,3509,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3b_onecell/b85_f3b_alignment_qa.csv,True,.csv,986,READABLE_HEADER,check_name|status|value|details,4,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3b_onecell/b85_f3b_expected_run_log_schema.csv,True,.csv,1375,READABLE_HEADER,column_name|dtype|required|allowed_values_or_format|description,5,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f3b_onecell/b85_f3b_forcing_day_contrast_by_hour.csv,True,.csv,2645,READABLE_HEADER,scenario|hour_sgt|fd01_forcing_day_id|fd02_forcing_day_id|contrast_direction|mean_difference_c|p50_difference_c|p90_difference_c|p95_difference_c|min_difference_c|max_difference_c|valid_overlap_pixels|qualitative_status|notes,14,False,True,True,False,False,False,False,False,True
