cell_id,hazard_score_v08,rank_v08_hazard_score,hazard_score_v10,rank_v10_hazard_score,rank_change_v08_minus_v10,is_old_dsm_gap_false_positive_candidate
TP_0166,0.4740843065661628,365.0,0.4803491271758129,366.0,-1.0,False
TP_0276,0.4303532645078948,422.0,0.4542116754008056,401.0,21.0,False
TP_0692,0.3827348908701818,501.0,0.3717545239209835,519.0,-18.0,False
TP_0555,0.6580617779346668,98.0,0.6853014412530877,55.0,43.0,False
TP_0290,0.4058369842234346,464.0,0.4223593187607521,452.0,12.0,False
TP_0193,0.4713238352983023,369.0,0.4970921623329981,342.0,27.0,False
TP_0567,0.4438418519004889,404.0,0.4611197722314598,391.0,13.0,False
TP_0139,0.4976884250652358,324.0,0.5191725257865213,305.0,19.0,False
TP_0284,0.4944366655691771,333.0,0.5121346741889687,315.0,18.0,False
TP_0798,0.3624106476782007,522.0,0.389125563834675,497.0,25.0,False
TP_0650,0.5761918115734087,210.0,0.4863457308665389,357.0,-147.0,False
TP_0410,0.3325371980135747,572.0,0.349887567106026,552.0,20.0,False
TP_0672,0.6541079199872157,101.0,0.6472804946791506,113.0,-12.0,False
TP_0621,0.6201951122704462,149.0,0.6427174452775672,119.0,30.0,False
TP_0673,0.6536263617372834,102.0,0.6533541815420701,101.0,1.0,False
TP_0207,0.6534235418781037,103.0,0.6892216391251386,44.0,59.0,False
TP_0652,0.4665957900149152,373.0,0.5109658062839749,317.0,56.0,False
TP_0037,0.5599814864463177,233.0,0.5638911182389579,236.0,-3.0,False
TP_0360,0.3435713651618772,556.0,0.34608379511945,560.0,-4.0,False
TP_0282,0.4606976253892663,380.0,0.4829699250896467,363.0,17.0,False
TP_0789,0.3690157064545721,517.0,0.2646337630047305,693.0,-176.0,False
TP_0674,0.651320030372795,108.0,0.6849189366928563,57.0,51.0,False
TP_0275,0.3584691817620614,526.0,0.4002810152068484,484.0,42.0,False
TP_0633,0.3188105831434559,596.0,0.32032212409605,598.0,-2.0,False
TP_0668,0.6475231718481699,112.0,0.6775592710419592,71.0,41.0,False
TP_0865,0.4730558007749417,367.0,0.4747143929304813,374.0,-7.0,False
TP_0855,0.415134385013902,448.0,0.2714041400957371,679.0,-231.0,False
TP_0933,0.6175103293260291,157.0,0.6573451059200577,96.0,61.0,False
TP_0597,0.427279495725509,429.0,0.4619181355504024,389.0,40.0,False
TP_0283,0.3497818113061002,542.0,0.432147113447445,432.0,110.0,False
TP_0517,0.4797985397767993,362.0,0.503055366408009,326.0,36.0,False
