cell_id,suggested_asset_folder,user_selected_asset_folder,user_decision,notes
TP_0972,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0165,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0406,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0777,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0085,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0495,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0762,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0067,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0646,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0371,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0063,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0010,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0722,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0467,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0954,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0983,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0985,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0925,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0845,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0236,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0544,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0787,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0605,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0815,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
