prediction_source,validation_scheme,dataset_label,target_col,model,event_target,official_event_threshold_c,score_threshold_c,TP,FP,TN,FN,precision,recall,F1,specificity,false_alarm_ratio,miss_rate,critical_success_index,predicted_positive_count,official_positive_count,youden_J
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,29.5,116,464,1926,5,0.2,0.9586776859504132,0.3309557774607703,0.8058577405857741,0.8,0.04132231404958678,0.19829059829059828,580,121,0.7645354265361872
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,29.6,116,442,1948,5,0.2078853046594982,0.9586776859504132,0.3416789396170839,0.8150627615062761,0.7921146953405018,0.04132231404958678,0.20603907637655416,558,121,0.7737404474566894
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,29.7,116,429,1961,5,0.21284403669724772,0.9586776859504132,0.3483483483483483,0.8205020920502092,0.7871559633027523,0.04132231404958678,0.2109090909090909,545,121,0.7791797780006224
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,29.8,115,407,1983,6,0.22030651340996169,0.9504132231404959,0.35769828926905134,0.8297071129707113,0.7796934865900383,0.049586776859504134,0.2178030303030303,522,121,0.7801203361112072
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,29.9,111,394,1996,10,0.2198019801980198,0.9173553719008265,0.3546325878594249,0.8351464435146444,0.7801980198019802,0.08264462809917356,0.21553398058252426,505,121,0.7525018154154708
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,30.0,105,355,2035,16,0.22826086956521738,0.8677685950413223,0.3614457831325301,0.8514644351464435,0.7717391304347826,0.1322314049586777,0.22058823529411764,460,121,0.7192330301877659
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,30.1,103,306,2084,18,0.25183374083129584,0.8512396694214877,0.3886792452830189,0.8719665271966527,0.7481662591687042,0.1487603305785124,0.24121779859484777,409,121,0.7232061966181402
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,30.2,99,265,2125,22,0.27197802197802196,0.8181818181818182,0.4082474226804123,0.8891213389121339,0.728021978021978,0.18181818181818182,0.25647668393782386,364,121,0.7073031570939521
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,30.3,89,248,2142,32,0.26409495548961426,0.7355371900826446,0.388646288209607,0.896234309623431,0.7359050445103857,0.2644628099173554,0.24119241192411925,337,121,0.6317714997060757
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,30.4,89,238,2152,32,0.27217125382262997,0.7355371900826446,0.3973214285714286,0.900418410041841,0.72782874617737,0.2644628099173554,0.2479108635097493,327,121,0.6359556001244857
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,30.5,81,218,2172,40,0.2709030100334448,0.6694214876033058,0.3857142857142857,0.9087866108786611,0.7290969899665551,0.3305785123966942,0.23893805309734514,299,121,0.5782080984819669
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,30.6,76,184,2206,45,0.2923076923076923,0.628099173553719,0.39895013123359585,0.9230125523012552,0.7076923076923077,0.371900826446281,0.24918032786885247,260,121,0.5511117258549743
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,30.7,70,161,2229,51,0.30303030303030304,0.5785123966942148,0.3977272727272727,0.9326359832635983,0.696969696969697,0.4214876033057851,0.24822695035460993,231,121,0.5111483799578131
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,30.8,65,124,2266,56,0.3439153439153439,0.5371900826446281,0.4193548387096774,0.9481171548117154,0.656084656084656,0.4628099173553719,0.2653061224489796,189,121,0.48530723745634363
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,30.9,48,107,2283,73,0.3096774193548387,0.39669421487603307,0.34782608695652173,0.9552301255230126,0.6903225806451613,0.6033057851239669,0.21052631578947367,155,121,0.35192434039904574
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,31.0,42,92,2298,79,0.31343283582089554,0.34710743801652894,0.3294117647058824,0.9615062761506277,0.6865671641791045,0.6528925619834711,0.19718309859154928,134,121,0.30861371416715655
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,31.1,27,74,2316,94,0.26732673267326734,0.2231404958677686,0.24324324324324326,0.9690376569037656,0.7326732673267327,0.7768595041322314,0.13846153846153847,101,121,0.19217815277153427
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,31.2,21,50,2340,100,0.29577464788732394,0.17355371900826447,0.21875,0.9790794979079498,0.704225352112676,0.8264462809917356,0.12280701754385964,71,121,0.15263321691621434
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,31.3,11,37,2353,110,0.22916666666666666,0.09090909090909091,0.1301775147928994,0.9845188284518829,0.7708333333333334,0.9090909090909091,0.06962025316455696,48,121,0.0754279193609737
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,31.4,10,35,2355,111,0.2222222222222222,0.08264462809917356,0.12048192771084337,0.9853556485355649,0.7777777777777778,0.9173553719008265,0.0641025641025641,45,121,0.06800027663473851
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,31.5,5,19,2371,116,0.20833333333333334,0.04132231404958678,0.06896551724137931,0.992050209205021,0.7916666666666666,0.9586776859504132,0.03571428571428571,24,121,0.03337252325460782
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,31.6,3,14,2376,118,0.17647058823529413,0.024793388429752067,0.043478260869565216,0.994142259414226,0.8235294117647058,0.9752066115702479,0.022222222222222223,17,121,0.018935647843977943
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,31.7,0,4,2386,121,0.0,0.0,0.0,0.998326359832636,1.0,1.0,0.0,4,121,-0.0016736401673640433
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,31.8,0,3,2387,121,0.0,0.0,0.0,0.998744769874477,1.0,1.0,0.0,3,121,-0.001255230125522977
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,31.9,0,1,2389,121,0.0,0.0,0.0,0.999581589958159,1.0,1.0,0.0,1,121,-0.0004184100418409553
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,32.0,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,32.1,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,32.2,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,32.3,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,32.4,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,32.5,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,32.6,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,32.7,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,32.8,0,0,2390,121,,0.0,0.0,1.0,,1.0,0.0,0,121,0.0
