prediction_source,validation_scheme,dataset_label,target_col,model,event_target,operating_point,achievable,official_event_threshold_c,score_threshold_c,TP,FP,TN,FN,precision,recall,F1,specificity,false_alarm_ratio,miss_rate,critical_success_index,predicted_positive_count,official_positive_count,youden_J
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,fixed_nominal,True,31.0,31.0,301.0,168.0,9109.0,895.0,0.6417910447761194,0.2516722408026756,0.36156156156156155,0.9818906974237361,0.3582089552238806,0.7483277591973244,0.22067448680351906,469.0,1196.0,0.23356293822641172
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,best_F1,True,31.0,30.0,780.0,820.0,8457.0,416.0,0.4875,0.6521739130434783,0.5579399141630902,0.9116093564729978,0.5125,0.34782608695652173,0.3869047619047619,1600.0,1196.0,0.5637832695164762
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,recall_90,True,31.0,28.7,1080.0,1783.0,7494.0,116.0,0.37722668529514497,0.903010033444816,0.532150776053215,0.807804247062628,0.6227733147048551,0.09698996655518395,0.36253776435045315,2863.0,1196.0,0.710814280507444
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,precision_70,True,31.0,31.3,169.0,72.0,9205.0,1027.0,0.7012448132780082,0.14130434782608695,0.2352122477383438,0.9922388703244583,0.2987551867219917,0.8586956521739131,0.1332807570977918,241.0,1196.0,0.13354321815054537
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,balanced_J,True,31.0,28.6,1094.0,1867.0,7410.0,102.0,0.3694697737250929,0.9147157190635451,0.5263411113783979,0.7987495957744961,0.6305302262749072,0.08528428093645485,0.3571661769507019,2961.0,1196.0,0.7134653148380412
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,low_false_alarm_candidate,True,31.0,31.3,169.0,72.0,9205.0,1027.0,0.7012448132780082,0.14130434782608695,0.2352122477383438,0.9922388703244583,0.2987551867219917,0.8586956521739131,0.1332807570977918,241.0,1196.0,0.13354321815054537
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge32,fixed_nominal,True,32.0,32.0,2.0,18.0,9981.0,472.0,0.1,0.004219409282700422,0.008097165991902834,0.9981998199819982,0.9,0.9957805907172996,0.0040650406504065045,20.0,474.0,0.00241922926469873
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge32,best_F1,True,32.0,30.5,264.0,757.0,9242.0,210.0,0.25857002938295787,0.5569620253164557,0.3531772575250836,0.9242924292429243,0.7414299706170421,0.4430379746835443,0.21445978878960195,1021.0,474.0,0.48125445455938
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge32,recall_90,True,32.0,28.8,430.0,2313.0,7686.0,44.0,0.15676266861100985,0.9071729957805907,0.26732981038234377,0.7686768676867687,0.8432373313889902,0.09282700421940929,0.15428776462145677,2743.0,474.0,0.6758498634673593
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge32,precision_70,False,32.0,,,,,,,,,,,,,,,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge32,balanced_J,True,32.0,28.6,441.0,2520.0,7479.0,33.0,0.14893617021276595,0.930379746835443,0.25676855895196504,0.7479747974797479,0.851063829787234,0.06962025316455696,0.14729458917835672,2961.0,474.0,0.6783545443151908
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge32,low_false_alarm_candidate,False,32.0,,,,,,,,,,,,,,,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,fixed_nominal,True,33.0,33.0,0.0,0.0,10354.0,119.0,,0.0,0.0,1.0,,1.0,0.0,0.0,119.0,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,best_F1,True,33.0,31.0,47.0,422.0,9932.0,72.0,0.10021321961620469,0.3949579831932773,0.15986394557823128,0.9592428047131544,0.8997867803837953,0.6050420168067226,0.08687615526802218,469.0,119.0,0.3542007879064317
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,recall_90,True,33.0,29.3,110.0,2133.0,8221.0,9.0,0.049041462327240305,0.9243697478991597,0.09314140558848434,0.7939926598416072,0.9509585376727597,0.07563025210084033,0.04884547069271759,2243.0,119.0,0.7183624077407669
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,precision_70,False,33.0,,,,,,,,,,,,,,,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,balanced_J,True,33.0,29.3,110.0,2133.0,8221.0,9.0,0.049041462327240305,0.9243697478991597,0.09314140558848434,0.7939926598416072,0.9509585376727597,0.07563025210084033,0.04884547069271759,2243.0,119.0,0.7183624077407669
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,low_false_alarm_candidate,False,33.0,,,,,,,,,,,,,,,
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,fixed_nominal,True,31.0,31.0,30.0,78.0,9772.0,593.0,0.2777777777777778,0.048154093097913325,0.08207934336525309,0.9920812182741117,0.7222222222222222,0.9518459069020867,0.042796005706134094,108.0,623.0,0.04023531137202507
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,best_F1,True,31.0,29.7,398.0,959.0,8891.0,225.0,0.2932940309506264,0.6388443017656501,0.40202020202020206,0.9026395939086295,0.7067059690493737,0.3611556982343499,0.2515802781289507,1357.0,623.0,0.5414838956742796
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,recall_90,True,31.0,28.2,562.0,2271.0,7579.0,61.0,0.19837627956230144,0.9020866773675762,0.32523148148148145,0.7694416243654822,0.8016237204376986,0.09791332263242375,0.19419488597097442,2833.0,623.0,0.6715283017330584
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,precision_70,False,31.0,,,,,,,,,,,,,,,
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,balanced_J,True,31.0,27.9,588.0,2567.0,7283.0,35.0,0.18637083993660855,0.9438202247191011,0.31127580730545257,0.7393908629441625,0.8136291600633915,0.056179775280898875,0.18432601880877744,3155.0,623.0,0.6832110876632635
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,low_false_alarm_candidate,False,31.0,,,,,,,,,,,,,,,
