prediction_source,dataset_label,target_col,model,event_target,official_event_threshold_c,validation_scheme,calibrator,n_folds_evaluated,n,event_count,event_rate,Brier,log_loss,ROC_AUC,average_precision,ECE_10,MCE_10,calibration_intercept,calibration_slope,mean_predicted_probability,observed_event_rate,probability_bias
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,33.0,future_block_calibration,logistic_score_calibration,1,1863,18,0.00966183574879227,0.009974046999970811,0.04613019121560265,0.8935561577838,0.051389744317822124,0.007551575112870124,0.36452620687034143,-0.8593456588958542,0.9179751272779249,0.017213410861662396,0.00966183574879227,0.007551575112870126
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,33.0,future_block_calibration,logistic_score_calibration_balanced,1,1863,18,0.00966183574879227,0.19502779509662338,0.5852132972657691,0.8935561577838,0.051389744317822124,0.29065791211293357,0.8871076258019354,-4.831388679774887,0.701363701874179,0.3003197478617259,0.00966183574879227,0.2906579121129336
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,33.0,future_block_calibration,isotonic_score_calibration,1,1863,18,0.00966183574879227,0.009754900546432313,0.044518503631168035,0.8939626618488408,0.049320505500291434,0.00702759836912974,0.24242424242424235,-0.9444795121089434,0.8720418337821682,0.016689434117922012,0.00966183574879227,0.007027598369129742
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,33.0,future_block_calibration,empirical_bin_calibration,1,1863,18,0.00966183574879227,0.009356201255072546,0.04381055937094824,0.891869918699187,0.04586087503934529,0.006143769506802498,0.006143769506802498,1.386220613943738,1.6457939283113932,0.015805605255594768,0.00966183574879227,0.006143769506802498
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,33.0,station_grouped_calibration,logistic_score_calibration,27,10473,119,0.0113625513224482,0.010950925392671252,0.05003690851928175,0.8815811045298939,0.06969200512671006,0.0014572643767503317,0.4052220881274625,-0.3378310023390939,0.9019706173815276,0.01144088302588904,0.0113625513224482,7.833170344083949e-05
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,33.0,station_grouped_calibration,logistic_score_calibration_balanced,27,10473,119,0.0113625513224482,0.1441216196399701,0.43145309517619296,0.8969488510103675,0.08246740230410589,0.2332621104900886,0.8544272032762137,-4.343297038134891,0.7354939609776109,0.24462466181253675,0.0113625513224482,0.23326211049008855
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,33.0,station_grouped_calibration,isotonic_score_calibration,27,10473,119,0.0113625513224482,0.010993593790416594,0.05087451142022107,0.8646493946236018,0.05615780852955435,0.0004357056856676405,0.999999,-1.5401409004376763,0.5240800770994495,0.011445331304875284,0.0113625513224482,8.277998242708397e-05
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,33.0,station_grouped_calibration,empirical_bin_calibration,27,10473,119,0.0113625513224482,0.010962404376484686,0.04978125933330405,0.855127641166569,0.03992093929518375,2.4332138868798578e-05,2.4332138868798578e-05,-1.0456511598137581,0.6815946916794148,0.011338219183579402,0.0113625513224482,-2.4332138868798578e-05
loso_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,logistic_score_calibration,5,10473,623,0.05948629809987587,0.043035823999713896,0.1425562576437847,0.9230526924737842,0.38016271614457164,0.006335175606617083,0.7575500167366653,-0.014314967503278202,0.9712544981245363,0.05831463359872664,0.05948629809987587,-0.001171664501149229
loso_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,logistic_score_calibration_balanced,5,10473,623,0.05948629809987587,0.11986325518196679,0.365452067133664,0.9281340492622077,0.4276315518612513,0.1766672943841064,0.630260049756997,-2.745035043208491,0.9121848823820656,0.23615359248398227,0.05948629809987587,0.1766672943841064
loso_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,isotonic_score_calibration,5,10473,623,0.05948629809987587,0.04430114292987851,0.14766703393653133,0.919799154247908,0.35019010915521376,0.016393156886254458,0.999999,-0.1948552440171563,0.8162420301212442,0.056240074351967456,0.05948629809987587,-0.0032462237479084152
loso_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,31.0,blocked_date_calibration,empirical_bin_calibration,5,10473,623,0.05948629809987587,0.04529161505970042,0.14819137211021438,0.9100013036641109,0.2942001919362133,0.01574994822839465,0.25813972767403787,-0.11462421628018035,0.881885934718666,0.05688035359771241,0.05948629809987587,-0.0026059445021634625
loso_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,31.0,future_block_calibration,logistic_score_calibration,1,1863,128,0.06870638754696726,0.04487679495718594,0.14166402394189967,0.9453079971181556,0.41559813562122455,0.02551202166266971,0.3559836018079281,0.17503541402621925,1.5821778692332504,0.08586457806089272,0.06870638754696726,0.01715819051392546
loso_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,31.0,future_block_calibration,logistic_score_calibration_balanced,1,1863,128,0.06870638754696726,0.1604559643017774,0.4952188655703619,0.9453079971181556,0.41559813562122455,0.2399814976714703,0.7224480171526696,-4.232130532601481,1.4407620977559814,0.3086878852184376,0.06870638754696726,0.23998149767147034
loso_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,31.0,future_block_calibration,isotonic_score_calibration,1,1863,128,0.06870638754696726,0.04639254361637801,0.14637586772607514,0.9452134365994236,0.42689988189209055,0.02226754764448873,0.1755368814192344,0.2978588292938411,1.530202510761616,0.08132365438823344,0.06870638754696726,0.012617266841266184
loso_oof,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,31.0,future_block_calibration,empirical_bin_calibration,1,1863,128,0.06870638754696726,0.04734957248092396,0.15012504293380655,0.9287463976945245,0.3430348837209303,0.01898743279637767,0.09854373269007415,0.9534995294070028,2.3866796885690666,0.0849707013247151,0.06870638754696726,0.01626431377774784
