dataset_label,target_col,model,event_target,calibrator,validation_scheme_count,mean_Brier,std_Brier,mean_log_loss,std_log_loss,mean_average_precision,std_average_precision,mean_ROC_AUC,std_ROC_AUC,mean_ECE,std_ECE,mean_probability_bias,std_probability_bias
hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,logistic_score_calibration,3,0.010615284174324396,0.00045358903189046874,0.04843879451045579,0.0016721655204925102,0.06358657631901544,0.008624464517810699,0.8893532464660061,0.0055018197300848865,0.0035667626302544144,0.0028193094225983364,0.002386678930031956,0.0036589839863657657
hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,logistic_score_calibration_balanced,3,0.16126885519401965,0.023872176495224478,0.4849748276689252,0.07093372531641928,0.07425348487735935,0.016379218435660956,0.8957773730028483,0.0015714224962012052,0.2514210036932157,0.027770266534375317,0.2514210036932157,0.027770266534375365
hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,empirical_bin_calibration,3,0.06950386670078597,0.001630371487391543,0.21393722457033038,0.004657959114642956,0.47816037786786897,0.04493559474335904,0.9159921440843468,0.008213399005276706,0.01859118333551964,0.01287366740488417,0.0029254302815775227,0.005894147692103403
hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,isotonic_score_calibration,3,0.06808092160137803,0.0018433728070551627,0.21018123305655614,0.0065327109438552905,0.5553789618014561,0.03834644330490429,0.924065095087646,0.007308322545957393,0.017602275366946203,0.007095191761063675,0.002133156570474401,0.004410492732663534
hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,logistic_score_calibration,3,0.06736912027775127,0.0010098949710379394,0.21038264222139266,0.002599862746867633,0.5809360973712628,0.04884954452830368,0.9280440931994395,0.005865532504883354,0.015655372051281105,0.002904830567339758,0.0029121111426849374,0.005058387922511931
hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,logistic_score_calibration_balanced,3,0.12220701944081085,0.011486769889071886,0.3864396384132633,0.031953869227686435,0.5983687027496835,0.033990426258657204,0.9301966878915545,0.003993632518901055,0.16804054967913604,0.01917798902878394,0.16804054967913604,0.01917798902878394
hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,empirical_bin_calibration,3,0.010314271200296557,0.0007190585959152855,0.0450100476334079,0.002323560371694014,0.05408703947602741,0.0058969935596961485,0.8969640306934062,0.01247869369126819,0.002119870378980678,0.002555006012119998,0.001699289409233276,0.002852073219487298
hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,isotonic_score_calibration,3,0.010421401030649898,0.000609403596332949,0.04617154364194595,0.003045707539221182,0.06845694502922306,0.009803549981842755,0.9063213299186165,0.006153137526396201,0.00335195792351678,0.0016299232062128763,0.001310234885065301,0.0024824763336178998
hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,logistic_score_calibration,3,0.010319427903820877,0.0006276344837426395,0.04461088123491496,0.002011614550499601,0.07409766716474765,0.01329374958983017,0.9163955852399671,0.002316165546239143,0.0024495674992939145,0.0015623721632739016,0.0013661749477395138,0.002293287558866201
hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,logistic_score_calibration_balanced,3,0.13673743172139782,0.018557291081373637,0.4060038551330587,0.04934156820322629,0.08706070513994439,0.02265085456253482,0.9208642840581075,0.005058779400564248,0.20510196311855652,0.02492639299535729,0.20510196311855647,0.024926392995357285
hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,empirical_bin_calibration,3,0.06515120925010733,0.0014788387225996378,0.20151023886979189,0.004538847857244978,0.5160249059934765,0.03361927529434011,0.9249658888405335,0.007830343987013466,0.020319568592133543,0.007620814685871902,0.008151907513220235,0.012935769975145447
hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,isotonic_score_calibration,3,0.06361670411967071,0.0018504638893172053,0.19959835225262154,0.0051872893199656,0.5950364363468552,0.014890392022638282,0.9328036681787125,0.0074297999530078184,0.02239055252836705,0.008527034771479513,0.007614033075208984,0.01218797090077697
hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,logistic_score_calibration,3,0.06286156339419793,0.0006476562625369644,0.19755990055652228,0.0021328672968224014,0.6205580983714721,0.014472213817260106,0.9373498652374092,0.006867351615424541,0.01823396820822774,0.006930019877340984,0.008351811790447314,0.012311110175673799
hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,logistic_score_calibration_balanced,3,0.12037463737796339,0.013092417275199494,0.37588818228221316,0.04460688390300381,0.6304207170226462,0.004033197588481018,0.9390046211464919,0.005531406998716564,0.16610470274359584,0.025422509894824082,0.16610470274359582,0.025422509894824096
hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,empirical_bin_calibration,3,0.010319436717483959,0.0006582544542295977,0.04526784047369376,0.0021079125695190578,0.05503267481178381,0.006350445966324932,0.8968341217657322,0.014148494149775539,0.0030458711638813294,0.0040630130655508944,0.002813006939344912,0.0042275759339127725
hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,isotonic_score_calibration,3,0.010550273846114634,0.0006016035808618054,0.04706327928607299,0.0029867461223031643,0.06658166139042862,0.015553338913204005,0.9010536548221163,0.002726956679149433,0.0040184380139506705,0.002087684349153611,0.0018424545963067127,0.003506575499357799
hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,logistic_score_calibration,3,0.010306594750180491,0.0004956583758936497,0.044786145785522445,0.0014588867553121517,0.08150318682501208,0.019623379604389143,0.9149386084679811,0.003117362793735286,0.0033399612285347105,0.003247666626662508,0.0024763846254151826,0.003859550361177577
hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,logistic_score_calibration_balanced,3,0.14417865267629512,0.02480899600977926,0.4240728552015806,0.0721348473243061,0.10122762280552877,0.03324521367776365,0.9194700714298318,0.004808775541457759,0.2159383732105525,0.0304006091874024,0.2159383732105525,0.0304006091874024
hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,empirical_bin_calibration,3,0.06533657881843888,0.001594321226836831,0.20107943683404003,0.004031487506243696,0.5155057791817402,0.054822643160884574,0.9260905469337395,0.011126144485547444,0.02400486878786592,0.012647415306640448,0.005686873499364452,0.009369895255248745
hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,isotonic_score_calibration,3,0.06191963490533664,0.001674220191712938,0.19265883036586892,0.005353131873442533,0.6315717344335484,0.0518752583360626,0.9376577683329897,0.011417898714636051,0.02093162983240518,0.01062745604235612,0.008154225500036994,0.012185089264555898
hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,logistic_score_calibration,3,0.06215608381745228,0.002016812444721409,0.19388954020849603,0.0043143737278946905,0.6436475296132287,0.050860154930720713,0.9400721887962641,0.009460541676082236,0.02078307291221518,0.007814394509748334,0.008814899963019185,0.012960787168670803
hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,logistic_score_calibration_balanced,3,0.11814209009360804,0.01274400917804108,0.36803051179922575,0.041774030532220015,0.6552475118221307,0.04124204976888415,0.942036415304829,0.007864247378698173,0.15899854837661365,0.023437803122845983,0.15899854837661365,0.023437803122845977
