scenario,hour,metric_a,metric_b,spearman_r,n_cells,emphasis_pair
overhead_as_canopy,10,tmrt_p50_c,tmrt_max_c,0.49999999999999994,24,False
overhead_as_canopy,10,tmrt_p50_c,pct_pixels_tmrt_ge_40,0.954743616594669,24,False
overhead_as_canopy,10,tmrt_p50_c,pct_pixels_tmrt_ge_45,0.8925370527432134,24,False
overhead_as_canopy,10,tmrt_p50_c,pct_pixels_tmrt_ge_50,,24,False
overhead_as_canopy,10,tmrt_p50_c,pct_pixels_tmrt_ge_55,,24,False
overhead_as_canopy,10,tmrt_p75_c,tmrt_p90_c,0.9513043478260867,24,True
overhead_as_canopy,10,tmrt_p75_c,tmrt_p95_c,0.7826086956521738,24,False
overhead_as_canopy,10,tmrt_p75_c,tmrt_max_c,0.6269565217391303,24,False
overhead_as_canopy,10,tmrt_p75_c,pct_pixels_tmrt_ge_40,0.9773719976625462,24,False
overhead_as_canopy,10,tmrt_p75_c,pct_pixels_tmrt_ge_45,0.9257580348552437,24,False
overhead_as_canopy,10,tmrt_p75_c,pct_pixels_tmrt_ge_50,,24,False
overhead_as_canopy,10,tmrt_p75_c,pct_pixels_tmrt_ge_55,,24,False
overhead_as_canopy,10,tmrt_p90_c,tmrt_p95_c,0.8582608695652173,24,True
overhead_as_canopy,10,tmrt_p90_c,tmrt_max_c,0.6991304347826087,24,True
overhead_as_canopy,10,tmrt_p90_c,pct_pixels_tmrt_ge_40,0.9321152355267917,24,True
overhead_as_canopy,10,tmrt_p90_c,pct_pixels_tmrt_ge_45,0.9111408027259504,24,True
overhead_as_canopy,10,tmrt_p90_c,pct_pixels_tmrt_ge_50,,24,True
overhead_as_canopy,10,tmrt_p90_c,pct_pixels_tmrt_ge_55,,24,True
overhead_as_canopy,10,tmrt_p95_c,tmrt_max_c,0.8991304347826086,24,False
overhead_as_canopy,10,tmrt_p95_c,pct_pixels_tmrt_ge_40,0.762402377517712,24,False
overhead_as_canopy,10,tmrt_p95_c,pct_pixels_tmrt_ge_45,0.8247662492346718,24,False
overhead_as_canopy,10,tmrt_p95_c,pct_pixels_tmrt_ge_50,,24,False
overhead_as_canopy,10,tmrt_p95_c,pct_pixels_tmrt_ge_55,,24,False
overhead_as_canopy,10,tmrt_max_c,pct_pixels_tmrt_ge_40,0.6100959664839225,24,False
overhead_as_canopy,10,tmrt_max_c,pct_pixels_tmrt_ge_45,0.7220026779014579,24,False
overhead_as_canopy,10,tmrt_max_c,pct_pixels_tmrt_ge_50,,24,False
overhead_as_canopy,10,tmrt_max_c,pct_pixels_tmrt_ge_55,,24,False
overhead_as_canopy,10,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,0.9185841155375777,24,False
overhead_as_canopy,10,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_50,,24,False
overhead_as_canopy,10,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_55,,24,False
overhead_as_canopy,10,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,,24,False
overhead_as_canopy,10,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_55,,24,False
overhead_as_canopy,10,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,,24,False
overhead_as_canopy,12,tmrt_mean_c,tmrt_p50_c,0.9486956521739129,24,False
overhead_as_canopy,12,tmrt_mean_c,tmrt_p75_c,0.9730434782608696,24,False
overhead_as_canopy,12,tmrt_mean_c,tmrt_p90_c,0.9426086956521739,24,True
overhead_as_canopy,12,tmrt_mean_c,tmrt_p95_c,0.8043478260869565,24,False
overhead_as_canopy,12,tmrt_mean_c,tmrt_max_c,0.6452173913043477,24,False
overhead_as_canopy,12,tmrt_mean_c,pct_pixels_tmrt_ge_40,0.9841270073915172,24,True
overhead_as_canopy,12,tmrt_mean_c,pct_pixels_tmrt_ge_45,0.9989128307460516,24,True
overhead_as_canopy,12,tmrt_mean_c,pct_pixels_tmrt_ge_50,0.9989128307460516,24,True
overhead_as_canopy,12,tmrt_mean_c,pct_pixels_tmrt_ge_55,0.9989128307460516,24,True
overhead_as_canopy,12,tmrt_p50_c,tmrt_p75_c,0.9452173913043478,24,False
overhead_as_canopy,12,tmrt_p50_c,tmrt_p90_c,0.9034782608695651,24,True
overhead_as_canopy,12,tmrt_p50_c,tmrt_p95_c,0.7121739130434783,24,False
overhead_as_canopy,12,tmrt_p50_c,tmrt_max_c,0.48869565217391303,24,False
overhead_as_canopy,12,tmrt_p50_c,pct_pixels_tmrt_ge_40,0.9436834317452903,24,False
overhead_as_canopy,12,tmrt_p50_c,pct_pixels_tmrt_ge_45,0.9445531860602631,24,False
overhead_as_canopy,12,tmrt_p50_c,pct_pixels_tmrt_ge_50,0.9445531860602631,24,False
overhead_as_canopy,12,tmrt_p50_c,pct_pixels_tmrt_ge_55,0.9445531860602631,24,False
overhead_as_canopy,12,tmrt_p75_c,tmrt_p90_c,0.9695652173913042,24,True
overhead_as_canopy,12,tmrt_p75_c,tmrt_p95_c,0.8182608695652173,24,False
overhead_as_canopy,12,tmrt_p75_c,tmrt_max_c,0.6217391304347826,24,False
overhead_as_canopy,12,tmrt_p75_c,pct_pixels_tmrt_ge_40,0.9636877809896606,24,False
overhead_as_canopy,12,tmrt_p75_c,pct_pixels_tmrt_ge_45,0.9706458155094415,24,False
overhead_as_canopy,12,tmrt_p75_c,pct_pixels_tmrt_ge_50,0.9706458155094415,24,False
overhead_as_canopy,12,tmrt_p75_c,pct_pixels_tmrt_ge_55,0.9706458155094415,24,False
overhead_as_canopy,12,tmrt_p90_c,tmrt_p95_c,0.8791304347826084,24,True
overhead_as_canopy,12,tmrt_p90_c,tmrt_max_c,0.6939130434782607,24,True
overhead_as_canopy,12,tmrt_p90_c,pct_pixels_tmrt_ge_40,0.936290520068023,24,True
overhead_as_canopy,12,tmrt_p90_c,pct_pixels_tmrt_ge_45,0.9397695373279137,24,True
overhead_as_canopy,12,tmrt_p90_c,pct_pixels_tmrt_ge_50,0.9397695373279137,24,True
overhead_as_canopy,12,tmrt_p90_c,pct_pixels_tmrt_ge_55,0.9397695373279137,24,True
overhead_as_canopy,12,tmrt_p95_c,tmrt_max_c,0.8426086956521738,24,False
