hour,metric,cell_id,base_value,overhead_value,base_rank,overhead_rank,rank_delta,abs_rank_delta,cell_metric_mean_abs_rank_delta,cell_metric_max_abs_rank_delta
16,pct_pixels_tmrt_ge_55,TP_0326,0.0,0.0,1,1,0.0,0.0,1.8,4.0
16,pct_pixels_tmrt_ge_55,TP_0366,0.0,0.0,1,1,0.0,0.0,1.2,2.0
16,pct_pixels_tmrt_ge_55,TP_0409,0.0,0.0,1,1,0.0,0.0,0.2,1.0
16,pct_pixels_tmrt_ge_55,TP_0433,0.0,0.0,1,1,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_55,TP_0492,0.0,0.0,1,1,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_55,TP_0542,0.0,0.0,1,1,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_55,TP_0565,0.0,0.0,1,1,0.0,0.0,1.4,3.0
16,pct_pixels_tmrt_ge_55,TP_0575,0.0,0.0,1,1,0.0,0.0,4.2,10.0
16,pct_pixels_tmrt_ge_55,TP_0627,0.0,0.0,1,1,0.0,0.0,1.2,2.0
16,pct_pixels_tmrt_ge_55,TP_0676,0.0,0.0,1,1,0.0,0.0,1.4,3.0
16,pct_pixels_tmrt_ge_55,TP_0773,0.0,0.0,1,1,0.0,0.0,0.4,1.0
16,pct_pixels_tmrt_ge_55,TP_0835,0.0,0.0,1,1,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_55,TP_0857,0.0,0.0,1,1,0.0,0.0,0.0,0.0
16,pct_pixels_tmrt_ge_55,TP_0960,0.0,0.0,1,1,0.0,0.0,1.2,2.0
16,pct_pixels_tmrt_ge_55,TP_0986,0.0,0.0,1,1,0.0,0.0,1.2,2.0
10,tmrt_max_c,TP_0326,46.63203811645508,46.63203811645508,1,1,0.0,0.0,0.2,1.0
10,tmrt_max_c,TP_0301,46.63159942626953,46.63159942626953,2,2,0.0,0.0,0.2,1.0
10,tmrt_max_c,TP_0773,46.63153839111328,46.63153839111328,3,3,0.0,0.0,0.2,1.0
10,tmrt_max_c,TP_0542,46.61781311035156,46.61781311035156,4,4,0.0,0.0,0.2,1.0
10,tmrt_max_c,TP_0986,46.60483551025391,46.60483551025391,5,5,0.0,0.0,0.2,1.0
10,tmrt_max_c,TP_0676,46.59663391113281,46.59663391113281,6,6,0.0,0.0,0.2,1.0
10,tmrt_max_c,TP_0037,46.57469177246094,45.45430374145508,7,15,8.0,8.0,7.2,8.0
10,tmrt_max_c,TP_0115,46.5737533569336,46.5737533569336,8,7,-1.0,1.0,1.2,2.0
10,tmrt_max_c,TP_0565,46.51640701293945,46.50859451293945,9,8,-1.0,1.0,1.2,2.0
10,tmrt_max_c,TP_0059,46.46051788330078,46.388519287109375,10,10,0.0,0.0,0.4,1.0
10,tmrt_max_c,TP_0960,46.42477416992188,46.42477416992188,11,9,-2.0,2.0,1.6,2.0
10,tmrt_max_c,TP_0098,46.379371643066406,46.379371643066406,12,11,-1.0,1.0,2.4,8.0
10,tmrt_max_c,TP_0366,46.223419189453125,46.129093170166016,13,13,0.0,0.0,1.0,2.0
