prediction_source,dataset_label,target_col,ablation_model,station_id,n,MAE,bias,official_ge_31_count,official_ge_33_count,fixed_31_recall,fixed_31_F1,residual_p90,residual_mean_high_tail
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S146,388,0.8680221354084288,-0.32454738890151635,29,0,0.5862068965517241,0.6938775510204082,0.9713854544879245,0.728096902063591
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S148,388,0.86093533980405,-0.4876498650786197,21,0,0.3333333333333333,0.36842105263157887,0.6957486620463319,0.765360485353989
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S145,388,0.8512918872233578,-0.02307472569975026,48,3,0.3958333333333333,0.5507246376811594,1.2600191082321837,1.3171997677396068
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S130,388,0.8345426305147333,0.2331232363079049,32,0,0.34375,0.4680851063829787,1.365833018852243,0.8889093594840423
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S153,388,0.8225692431918636,0.015166951814305888,37,0,0.43243243243243246,0.5614035087719298,1.166058229710899,1.0498976781915952
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S124,388,0.8185404856884066,-0.2659816419832562,10,0,0.3,0.21428571428571427,0.9666445082607921,0.8216002504171698
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,S129,385,0.7937308394588781,0.11787817591823546,47,0,0.3191489361702128,0.48387096774193555,1.175819097256453,1.2224893669905326
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S142,388,1.2472196955308057,0.5823605377836741,84,32,0.14285714285714285,0.25,2.9316109518178304,2.685530988744951
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S137,388,1.1995290342445863,0.701176078072091,77,26,0.14285714285714285,0.24719101123595502,2.7831139684031045,2.5288943107760495
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S135,388,1.1347483294283012,0.11192952199320838,69,14,0.2753623188405797,0.4222222222222222,2.121845179996983,2.00022950663843
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S139,388,1.1251285527683699,-0.7196335122614264,8,0,0.0,,0.8102858873148999,1.1718472435315155
loso_sprint2a_oof,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,S128,388,1.0514939556647847,0.12856026820106312,57,9,0.21052631578947367,0.3333333333333333,1.9463024572428969,2.0073379233584605
