cell_id,sunlit_hot_pocket_proxy_frac,open_high_svf_low_shade_frac,proxy_method,feature_version
TP_0542,0.006583264756646898,0.006583264756646898,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0543,0.6166031164518665,0.6166031164518665,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0544,0.848641632998179,0.848641632998179,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0546,0.28588829053438675,0.28588829053438675,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0552,0.2951389633733905,0.2951389633733905,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0554,0.008384099743507087,0.008384099743507087,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0555,0.5119319976364952,0.5119319976364952,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0556,0.22580045047546124,0.22580045047546124,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0560,0.2650441824407991,0.2650441824407991,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0564,0.37318603831917974,0.37318603831917974,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0565,0.4806361052496231,0.4806361052496231,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0568,0.2975290098843384,0.2975290098843384,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0569,0.35679980816775875,0.35679980816775875,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0570,0.35023585545881275,0.35023585545881275,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0571,0.3263765788326122,0.3263765788326122,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0572,0.6750836904113375,0.6750836904113375,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0573,0.33797804546799737,0.33797804546799737,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0575,0.5313082431986104,0.5313082431986104,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0581,0.3192589588439611,0.3192589588439611,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0584,0.17471594418935424,0.17471594418935424,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0587,0.23224197445498307,0.23224197445498307,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0588,0.2884284852405826,0.2884284852405826,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0589,0.29633804536957975,0.29633804536957975,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0590,0.26537627353671517,0.26537627353671517,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0592,0.211471637357241,0.211471637357241,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0599,0.08542721378064391,0.08542721378064391,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0600,0.2505089370987879,0.2505089370987879,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0601,0.5243629162763874,0.5243629162763874,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0603,0.11430124794171875,0.11430124794171875,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0605,0.5095780160588264,0.5095780160588264,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0608,0.3449344965314196,0.3449344965314196,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0610,0.748278478402446,0.748278478402446,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0611,0.4154940191182546,0.4154940191182546,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0612,0.30027286541610554,0.30027286541610554,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0614,0.004711344478769241,0.004711344478769241,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0616,0.003039856155631372,0.003039856155631372,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0622,0.3640554425767752,0.3640554425767752,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0623,0.33304543377757345,0.33304543377757345,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0627,0.14240047422000468,0.14240047422000468,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0628,0.10002800063151891,0.10002800063151891,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0632,0.2625519750104406,0.2625519750104406,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0636,0.2504560755075512,0.2504560755075512,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0641,0.5742386262076388,0.5742386262076388,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0646,0.014748617702779597,0.014748617702779597,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0647,0.027440423076846996,0.027440423076846996,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0649,0.05246569987088571,0.05246569987088571,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0650,0.3369137892777177,0.3369137892777177,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0651,0.20737596227641603,0.20737596227641603,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0657,0.13544472317683517,0.13544472317683517,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0663,0.06833895806058686,0.06833895806058686,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
TP_0669,0.062237569182461164,0.062237569182461164,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),b86g_v0_1
