cell_id,tree_building_overlap_proxy,tree_near_tall_building_frac,interaction_method,feature_version
TP_0792,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0793,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0799,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0808,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0815,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0817,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0822,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0827,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0829,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0830,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0831,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0832,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0834,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0835,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0845,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0851,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0855,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0857,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0858,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0859,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0860,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0861,2.9634231575670113e-05,0.004939038595946254,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0864,0.0334316977052174,0.04014372923267133,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0871,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0882,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0887,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0888,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0889,0.06741464786612708,0.02375428043175396,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0890,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
