cell_id,overhead_patch_count,overhead_total_area_m2,overhead_mean_patch_area_m2,overhead_edge_density,overhead_total_area_proxy,overhead_shape_source_status,feature_version
TP_0245,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0248,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0254,7.0,966.4876337151652,138.06966195930931,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0255,10.0,773.2993002541286,77.32993002541286,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0256,8.0,419.7070765828958,52.463384572861976,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0257,3.0,627.9071840760101,209.3023946920034,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0263,1.0,1.991788595049,1.991788595049,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0276,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0277,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0278,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0285,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0286,7.0,872.1230781345208,124.5890111620744,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0293,3.0,503.4681248832767,167.82270829442555,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0300,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0301,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0313,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0318,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0319,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0320,2.0,322.41082321410346,161.20541160705173,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0326,1.0,134.99254940061925,134.99254940061925,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0337,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
TP_0344,1.0,1400.5923419065762,1400.5923419065762,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,b86g_v0_1
