candidate_id,candidate_role,candidate_family,regime_variable,regime_bin,n_obs_ge31,n_ge31_miss,ge31_miss_rate_among_observed,share_of_candidate_ge31_misses_in_regime_variable,mean_residual_official_minus_pred_c
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,direct_radiation_bin,very_high,177,177,1.0,0.8676470588235294,3.0126750692538624
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,diffuse_radiation_bin,low,0,0,,0.0,0.393488193633768
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,diffuse_radiation_bin,high,24,24,1.0,0.11764705882352941,1.6289331243697622
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,diffuse_radiation_bin,very_high,180,180,1.0,0.8823529411764706,3.321871698026033
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,temperature_bin,mid,2,2,1.0,0.00980392156862745,0.6598048027113291
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,temperature_bin,high,44,44,1.0,0.21568627450980393,1.6876705645966175
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,temperature_bin,very_high,158,158,1.0,0.7745098039215687,2.5835971336020447
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,temperature_bin,low,0,0,,0.0,0.6807552020886574
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,humidity_bin,high,3,3,1.0,0.014705882352941176,0.6432163659048721
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,humidity_bin,mid,51,51,1.0,0.25,1.7150636361378928
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,humidity_bin,low,150,150,1.0,0.7352941176470589,2.4518387002266464
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,humidity_bin,very_high,0,0,,0.0,0.6468204477108997
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,wind_bin,low,25,25,1.0,0.12254901960784313,0.7877314285241511
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,wind_bin,mid,28,28,1.0,0.13725490196078433,1.0196151580740582
stull_globe_shortwave_radiation_k0p003_wf0p25,raw_formula_proxy,stull_wetbulb_simple_globe_k_sweep,wind_bin,high,49,49,1.0,0.24019607843137256,1.4997653675899452
