cell_id,hazard_score_proxy_v07,rank_proxy_v07_hazard_score,hazard_score_umep_veg_v08,rank_umep_veg_v08_hazard_score,rank_change_proxy_minus_umep
TP_0038,0.5651099482351293,210.0,0.269984463905345,674.0,-464.0
TP_0719,0.5841410885624285,182.0,0.4502924514119725,392.0,-210.0
TP_0786,0.5050454931411583,314.0,0.6885785711332593,46.0,268.0
TP_0102,0.4696947906819332,374.0,0.4557071362939217,391.0,-17.0
TP_0457,0.3806993897101797,539.0,0.1487582968512595,842.0,-303.0
TP_0131,0.5635846107458493,213.0,0.2812029151268044,653.0,-440.0
TP_0528,0.3962340725593164,506.0,0.2845071173266276,646.0,-140.0
TP_0447,0.5076921367994366,305.0,0.5455905713208841,250.0,55.0
TP_0757,0.494850589748243,337.0,0.6183400959071345,154.0,183.0
TP_0904,0.4366148352064221,427.0,0.6184106930706847,153.0,274.0
TP_0277,0.5081100887721754,303.0,0.158580105484351,827.0,-524.0
TP_0133,0.5723682758419902,202.0,0.3796451254436632,506.0,-304.0
TP_0415,0.4182995384271323,471.0,0.338058295690898,567.0,-96.0
TP_0751,0.4039566511043584,493.0,0.4477603898737914,397.0,96.0
TP_0545,0.5359673433781911,258.0,0.6301476550018986,137.0,121.0
TP_0290,0.4362752113485643,429.0,0.4058369842234346,464.0,-35.0
TP_0090,0.4062964520497107,488.0,0.2345062793066683,720.0,-232.0
TP_0713,0.3849044278216146,533.0,0.571235231047164,219.0,314.0
TP_0826,0.4772741003777758,362.0,0.1202562801746849,885.0,-523.0
TP_0421,0.5160302914021592,292.0,0.3893237865203092,495.0,-203.0
TP_0185,0.4794962951696339,357.0,0.5246809594425117,283.0,74.0
TP_0530,0.4311042685679991,437.0,0.4987979791806509,322.0,115.0
TP_0467,0.4329017939903515,435.0,0.1569599030064519,829.0,-394.0
TP_0839,0.4243939685829561,458.0,0.4866759809043001,349.0,109.0
TP_0736,0.4874731149619135,346.0,0.619342597167232,151.0,195.0
TP_0033,0.5133083151459639,294.0,0.5625227860051345,225.0,69.0
TP_0227,0.3962347232072069,505.0,0.1970543439384899,778.0,-273.0
TP_0187,0.3892878962899377,521.0,0.1844177461746743,798.0,-277.0
TP_0623,0.4202752439802111,468.0,0.6262731919245433,143.0,325.0
TP_0007,0.3940622095453277,511.0,0.3344615301816133,570.0,-59.0
TP_0273,0.5118016450073747,297.0,0.4573298058938261,386.0,-89.0
TP_0501,0.4320724918121656,436.0,0.6322654964643473,134.0,302.0
TP_0190,0.5066674131043265,306.0,0.278530942221443,663.0,-357.0
TP_0042,0.3968985371136886,504.0,0.7084148614847006,23.0,481.0
TP_0926,0.4998512943529153,327.0,0.3871839245815175,497.0,-170.0
TP_0557,0.5545605451556062,231.0,0.3123285802613149,603.0,-372.0
TP_0979,0.4233630290202166,460.0,0.2643537289615896,684.0,-224.0
