cell_id,forcing_day_id,date,hour_sgt,scenario,tmrt_mean_c,tmrt_p50_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,valid_pixel_count,nodata_fraction,sanity_status
TP_0115,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,overhead_as_canopy,39.294834,40.930929,43.884148,44.294227,44.435715,22500,0.000000,PASS
TP_0115,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,base,41.200266,43.855520,47.168301,47.559716,47.697189,22500,0.000000,PASS
TP_0115,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,overhead_as_canopy,41.200266,43.855520,47.168301,47.559716,47.697189,22500,0.000000,PASS
TP_0141,FD01_high_shortwave_hot_20260507,2026-05-07,10,base,37.721984,33.957506,45.728043,46.006184,46.395748,22500,0.000000,PASS
TP_0141,FD01_high_shortwave_hot_20260507,2026-05-07,10,overhead_as_canopy,36.935017,33.781168,44.943555,45.883878,46.388191,22500,0.000000,PASS
TP_0141,FD01_high_shortwave_hot_20260507,2026-05-07,12,base,47.153679,39.809547,61.755093,61.973028,62.219387,22500,0.000000,PASS
TP_0141,FD01_high_shortwave_hot_20260507,2026-05-07,12,overhead_as_canopy,45.863595,39.206055,61.094902,61.873449,62.219387,22500,0.000000,PASS
TP_0141,FD01_high_shortwave_hot_20260507,2026-05-07,13,base,47.027396,39.714043,61.793983,62.082138,62.424931,22500,0.000000,PASS
TP_0141,FD01_high_shortwave_hot_20260507,2026-05-07,13,overhead_as_canopy,45.784650,39.125849,60.972303,61.956702,62.422707,22500,0.000000,PASS
TP_0141,FD01_high_shortwave_hot_20260507,2026-05-07,15,base,45.556416,38.446026,59.726943,60.077423,60.567577,22500,0.000000,PASS
TP_0141,FD01_high_shortwave_hot_20260507,2026-05-07,15,overhead_as_canopy,44.229348,37.983047,58.690496,59.918579,60.567577,22500,0.000000,PASS
TP_0141,FD01_high_shortwave_hot_20260507,2026-05-07,16,base,40.442252,35.832458,50.679678,51.069668,51.580276,22500,0.000000,PASS
TP_0141,FD01_high_shortwave_hot_20260507,2026-05-07,16,overhead_as_canopy,39.467174,35.490501,49.683105,50.908876,51.580276,22500,0.000000,PASS
TP_0141,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,base,27.485118,27.498051,28.290600,28.414714,30.049391,22500,0.000000,PASS
TP_0141,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,10,overhead_as_canopy,27.401854,27.447514,28.159707,28.378641,30.049391,22500,0.000000,PASS
TP_0141,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,base,41.541244,36.323185,52.410924,52.752159,53.236713,22500,0.000000,PASS
TP_0141,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,12,overhead_as_canopy,40.559637,36.003172,51.472841,52.611638,53.225929,22500,0.000000,PASS
TP_0141,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,base,45.110494,38.589584,58.480955,58.841095,59.325356,22500,0.000000,PASS
TP_0141,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,13,overhead_as_canopy,43.964727,38.185339,57.491447,58.691563,59.314785,22500,0.000000,PASS
TP_0141,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,base,36.613940,33.575623,43.323013,43.653715,44.145374,22500,0.000000,PASS
TP_0141,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,15,overhead_as_canopy,35.974174,33.397921,42.476321,43.522063,44.145374,22500,0.000000,PASS
TP_0141,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,base,37.871491,34.015356,46.558221,46.925571,47.412579,22500,0.000000,PASS
TP_0141,FD02_humid_hot_cloudy_or_diffuse_20260508,2026-05-08,16,overhead_as_canopy,37.041615,33.756817,45.630964,46.776085,47.412579,22500,0.000000,PASS
TP_0154,FD01_high_shortwave_hot_20260507,2026-05-07,10,base,35.381667,33.177441,43.499527,44.524697,46.528488,22500,0.000000,PASS
TP_0154,FD01_high_shortwave_hot_20260507,2026-05-07,10,overhead_as_canopy,35.254208,33.151581,43.375415,44.502671,46.528488,22500,0.000000,PASS
TP_0154,FD01_high_shortwave_hot_20260507,2026-05-07,12,base,42.854126,37.390701,59.840032,60.993780,62.274178,22500,0.000000,PASS
TP_0154,FD01_high_shortwave_hot_20260507,2026-05-07,12,overhead_as_canopy,42.425387,37.300966,59.571409,60.982082,62.274178,22500,0.000000,PASS
TP_0154,FD01_high_shortwave_hot_20260507,2026-05-07,13,base,42.782773,37.616278,59.335152,60.728568,62.527580,22500,0.000000,PASS
TP_0154,FD01_high_shortwave_hot_20260507,2026-05-07,13,overhead_as_canopy,42.396427,37.530783,59.008553,60.703596,62.527580,22500,0.000000,PASS
TP_0154,FD01_high_shortwave_hot_20260507,2026-05-07,15,base,41.778290,36.736069,56.665740,58.198825,60.734638,22500,0.000000,PASS
TP_0154,FD01_high_shortwave_hot_20260507,2026-05-07,15,overhead_as_canopy,41.346559,36.667728,56.205660,58.198574,60.734638,22500,0.000000,PASS
TP_0154,FD01_high_shortwave_hot_20260507,2026-05-07,16,base,37.981581,34.924030,47.669319,49.118337,51.748653,22500,0.000000,PASS
